district_id,Demand_Signal,Mean_Distribution_Gap,Valid_Audit_Cycles,Competitive_Intensity,Mean_Panel_Coverage_Pct_x,Coverage_Status_x,Total_Population,Estimated_Total_Retail_Universe,District_Code_x,Mean_Panel_Coverage_Pct_y,Coverage_Status_y,District_Code_y,Mean_Panel_Coverage_Pct,Coverage_Status,Market_Opportunity
DST_0299,0.9220588235294118,0.6726655671944985,23,0.8618764751428217,60.99208333333333,RELIABLE,2463289,3970,DST_0299,60.99208333333333,RELIABLE,DST_0299,60.99208333333333,RELIABLE,HIGH_OPPORTUNITY
DST_0211,0.919607843137255,0.92840945492283,24,0.6027889458584502,60.32666666666666,RELIABLE,718338,946,DST_0211,60.32666666666666,RELIABLE,DST_0211,60.32666666666666,RELIABLE,HIGH_OPPORTUNITY
DST_0271,0.9142156862745098,0.930130816549594,24,0.6403170968735351,70.21541666666667,RELIABLE,2315000,4606,DST_0271,70.21541666666667,RELIABLE,DST_0271,70.21541666666667,RELIABLE,HIGH_OPPORTUNITY
DST_0301,0.9083333333333332,0.9331183626593318,24,0.6646036220318114,73.36708333333333,RELIABLE,1986864,2674,DST_0301,73.36708333333333,RELIABLE,DST_0301,73.36708333333333,RELIABLE,HIGH_OPPORTUNITY
DST_0068,0.8999999999999999,0.9239549030731222,24,0.6342810319594602,55.51,UNKNOWN,2722290,4045,DST_0068,55.51,UNKNOWN,DST_0068,55.51,UNKNOWN,HIGH_OPPORTUNITY
DST_0066,0.8941176470588235,0.671181879611095,23,0.8735373782683076,75.52333333333333,RELIABLE,3458045,6445,DST_0066,75.52333333333333,RELIABLE,DST_0066,75.52333333333333,RELIABLE,HIGH_OPPORTUNITY
DST_0069,0.8887254901960784,0.9222669176529403,24,0.6466938951472484,62.02708333333334,RELIABLE,3482056,5271,DST_0069,62.02708333333334,RELIABLE,DST_0069,62.02708333333334,RELIABLE,HIGH_OPPORTUNITY
DST_0116,0.8794117647058823,0.6603856859486427,24,0.8743499156631922,77.50333333333333,RELIABLE,3443689,5213,DST_0116,77.50333333333333,RELIABLE,DST_0116,77.50333333333333,RELIABLE,HIGH_OPPORTUNITY
DST_0008,0.8735294117647059,0.9265534524573217,24,0.6420123876369015,57.3225,UNKNOWN,3701282,5241,DST_0008,57.3225,UNKNOWN,DST_0008,57.3225,UNKNOWN,HIGH_OPPORTUNITY
DST_0154,0.8666666666666667,0.9268485604152441,24,0.730907850275484,65.09083333333334,RELIABLE,3804556,6132,DST_0154,65.09083333333334,RELIABLE,DST_0154,65.09083333333334,RELIABLE,HIGH_OPPORTUNITY
DST_0329,0.865686274509804,0.928676161200475,24,0.6038175684587346,71.46458333333334,RELIABLE,3086293,5363,DST_0329,71.46458333333334,RELIABLE,DST_0329,71.46458333333334,RELIABLE,HIGH_OPPORTUNITY
DST_0244,0.8612745098039215,0.9279735350898389,23,0.5723748056399005,73.79916666666666,RELIABLE,3068420,3313,DST_0244,73.79916666666666,RELIABLE,DST_0244,73.79916666666666,RELIABLE,HIGH_OPPORTUNITY
DST_0113,0.8588235294117648,0.6597263801488291,24,0.8806253711444416,70.00208333333333,RELIABLE,3676841,5154,DST_0113,70.00208333333333,RELIABLE,DST_0113,70.00208333333333,RELIABLE,HIGH_OPPORTUNITY
DST_0246,0.8529411764705883,0.9290787536675932,24,0.6701388830632564,69.42958333333333,RELIABLE,3674179,3865,DST_0246,69.42958333333333,RELIABLE,DST_0246,69.42958333333333,RELIABLE,HIGH_OPPORTUNITY
DST_0009,0.8117647058823529,0.6726206181500823,23,0.8044147090572951,68.17625,RELIABLE,3876001,4837,DST_0009,68.17625,RELIABLE,DST_0009,68.17625,RELIABLE,HIGH_OPPORTUNITY
DST_0153,0.7828431372549018,0.9305140013474963,24,0.6700993248157461,65.11916666666667,RELIABLE,4165626,6248,DST_0153,65.11916666666667,RELIABLE,DST_0153,65.11916666666667,RELIABLE,HIGH_OPPORTUNITY
DST_0039,0.7343137254901961,0.9306873269103043,24,0.7187050212074542,72.03666666666668,RELIABLE,4779661,5496,DST_0039,72.03666666666668,RELIABLE,DST_0039,72.03666666666668,RELIABLE,HIGH_OPPORTUNITY
DST_0188,0.6004901960784313,0.6632379270980094,24,0.8897665036309597,64.43583333333333,RELIABLE,5519145,7428,DST_0188,64.43583333333333,RELIABLE,DST_0188,64.43583333333333,RELIABLE,HIGH_OPPORTUNITY
