District_Code,District_Name,State_Union_Territory,Total_Population,Urban_Population_Share_Pct,Rural_Population_Share_Pct,Median_Income_Band,Estimated_Total_Retail_Universe,Census_Demographic_Notes,District_Ref_ID_normalized,Mean_Panel_Coverage_Pct,Coverage_Status
DST_0052,Bidar,Karnataka,1700018,25,75,Low-Medium,1955,,DST_0052,41.077083333333334,UNKNOWN
DST_0053,Chitradurga,Karnataka,1659456,20,80,Low-Medium,1792,,DST_0053,42.342083333333335,UNKNOWN
DST_0054,Chikkamagaluru,Karnataka,1137961,21,79,Medium,1244,,DST_0054,63.69166666666666,RELIABLE
DST_0055,Kodagu,Karnataka,554519,15,85,Medium-High,560,,DST_0055,23.668333333333333,UNKNOWN
DST_0056,Kolar,Karnataka,1536401,31,69,Medium,1895,,DST_0056,53.67166666666666,UNKNOWN
DST_0057,Koppal,Karnataka,1389920,17,83,Low,1442,,DST_0057,16.08375,UNKNOWN
DST_0058,Raichur,Karnataka,1928812,25,75,Low,2218,,DST_0058,56.742916666666666,UNKNOWN
DST_0059,Ramanagara,Karnataka,1082636,25,75,Medium,1245,,DST_0059,40.001666666666665,UNKNOWN
DST_0060,Uttara Kannada,Karnataka,1437169,29,71,Medium,1733,,DST_0060,46.98833333333334,UNKNOWN
DST_0061,Yadgir,Karnataka,1174271,19,81,Low,1251,,DST_0061,64.84041666666667,RELIABLE
DST_0062,Chamarajanagar,Karnataka,1020791,17,83,Low-Medium,1059,,DST_0062,56.14208333333334,UNKNOWN
DST_0063,Gadag,Karnataka,1064570,36,64,Low-Medium,1388,,DST_0063,51.35833333333333,UNKNOWN
DST_0064,Haveri,Karnataka,1597668,21,79,Low-Medium,1747,,DST_0064,55.35125,UNKNOWN
DST_0065,Chennai,Tamil Nadu,7088403,100,0,High,15594,,DST_0065,86.90750000000001,RELIABLE
DST_0066,Coimbatore,Tamil Nadu,3458045,76,24,High,6445,,DST_0066,75.52333333333333,RELIABLE
DST_0067,Madurai,Tamil Nadu,3038252,61,39,Medium-High,5025,,DST_0067,41.96375,UNKNOWN
DST_0068,Tiruchirappalli,Tamil Nadu,2722290,49,51,Medium-High,4045,,DST_0068,55.51,UNKNOWN
DST_0069,Salem,Tamil Nadu,3482056,51,49,Medium-High,5271,,DST_0069,62.02708333333334,RELIABLE
DST_0070,Tirunelveli,Tamil Nadu,1665253,49,51,Medium,2474,,DST_0070,43.29791666666667,UNKNOWN
DST_0071,Tiruppur,Tamil Nadu,2479052,61,39,High,4100,,DST_0071,11.182916666666666,UNKNOWN
DST_0072,Erode,Tamil Nadu,2251744,51,49,Medium-High,3409,,DST_0072,63.94916666666666,RELIABLE
DST_0073,Vellore,Tamil Nadu,1614242,43,57,Medium,2263,,DST_0073,61.17916666666667,RELIABLE
DST_0074,Thanjavur,Tamil Nadu,2405890,35,65,Medium,3103,,DST_0074,43.94166666666666,UNKNOWN
DST_0075,Dindigul,Tamil Nadu,2159775,37,63,Medium,2846,,DST_0075,55.00583333333333,UNKNOWN
DST_0076,Kancheepuram,Tamil Nadu,1166401,63,37,Medium-High,1961,Official census spelling variant,DST_0076,12.455833333333333,UNKNOWN
DST_0077,Chengalpattu,Tamil Nadu,2556244,68,32,High,4478,,DST_0077,16.336666666666666,UNKNOWN
DST_0078,Cuddalore,Tamil Nadu,2605914,34,66,Medium,3325,,DST_0078,48.05083333333334,UNKNOWN
DST_0079,Dharmapuri,Tamil Nadu,1506843,17,83,Low-Medium,1564,,DST_0079,45.56125,UNKNOWN
DST_0080,Karur,Tamil Nadu,1064493,41,59,Medium,1462,,DST_0080,42.330416666666665,UNKNOWN
DST_0081,Krishnagiri,Tamil Nadu,1879809,23,77,Medium,2109,,DST_0081,50.907916666666665,UNKNOWN
DST_0082,Nagapattinam,Tamil Nadu,1616450,23,77,Low-Medium,1813,,DST_0082,43.49625,UNKNOWN
DST_0083,Namakkal,Tamil Nadu,1726601,40,60,Medium,2348,,DST_0083,52.369166666666665,UNKNOWN
DST_0084,Nilgiris,Tamil Nadu,735394,59,41,Medium-High,1195,,DST_0084,61.70166666666666,RELIABLE
DST_0085,Perambalur,Tamil Nadu,565223,17,83,Low-Medium,586,,DST_0085,19.179166666666667,UNKNOWN
DST_0086,Pudukkottai,Tamil Nadu,1618345,20,80,Low-Medium,1747,,DST_0086,41.00541666666667,UNKNOWN
DST_0087,Ramanathapuram,Tamil Nadu,1353445,30,70,Low-Medium,1651,,DST_0087,65.16666666666667,RELIABLE
DST_0088,Ranipet,Tamil Nadu,1210277,42,58,Medium,1679,,DST_0088,50.219166666666666,UNKNOWN
DST_0089,Sivaganga,Tamil Nadu,1339101,31,69,Low-Medium,1652,,DST_0089,38.288333333333334,UNKNOWN
DST_0090,Tenkasi,Tamil Nadu,1407627,43,57,Medium,1973,,DST_0090,36.60666666666666,UNKNOWN
DST_0091,Theni,Tamil Nadu,1245899,54,46,Medium,1938,,DST_0091,37.92166666666667,UNKNOWN
DST_0092,Thoothukudi,Tamil Nadu,1750176,50,50,Medium-High,2625,,DST_0092,54.035,UNKNOWN
DST_0093,Tirupathur,Tamil Nadu,1111812,38,62,Low-Medium,1480,,DST_0093,59.01958333333334,UNKNOWN
DST_0094,Tiruvallur,Tamil Nadu,3728104,65,35,High,6375,,DST_0094,48.46083333333333,UNKNOWN
DST_0095,Tiruvannamalai,Tamil Nadu,2464875,20,80,Low-Medium,2662,,DST_0095,37.45375,UNKNOWN
DST_0096,Tiruvarur,Tamil Nadu,1264277,20,80,Low-Medium,1365,,DST_0096,45.64166666666667,UNKNOWN
DST_0097,Villupuram,Tamil Nadu,2093003,15,85,Low-Medium,2113,,DST_0097,66.25458333333333,RELIABLE
DST_0098,Virudhunagar,Tamil Nadu,1942288,51,49,Medium,2940,,DST_0098,51.212916666666665,UNKNOWN
DST_0099,Kallakurichi,Tamil Nadu,1370281,13,87,Low,1345,,DST_0099,27.540000000000003,UNKNOWN
DST_0100,Central Delhi,Delhi NCR,582320,100,0,High,1281,,DST_0100,87.26625,RELIABLE
DST_0101,East Delhi,Delhi NCR,1709346,100,0,High,3760,,DST_0101,34.72375,UNKNOWN
DST_0102,New Delhi,Delhi NCR,142004,100,0,High,312,,DST_0102,56.385,UNKNOWN
DST_0103,North Delhi,Delhi NCR,887978,100,0,High,1953,,DST_0103,55.397083333333335,UNKNOWN
DST_0104,North East Delhi,Delhi NCR,2241624,100,0,Medium-High,4931,,DST_0104,51.305,UNKNOWN
DST_0105,North West Delhi,Delhi NCR,3656539,94,6,High,7737,,DST_0105,43.42208333333334,UNKNOWN
DST_0106,South Delhi,Delhi NCR,2731929,99,1,High,5971,,DST_0106,85.90708333333333,RELIABLE
DST_0107,South East Delhi,Delhi NCR,2150000,100,0,High,4730,,DST_0107,38.60208333333333,UNKNOWN
DST_0108,South West Delhi,Delhi NCR,2292958,94,6,High,4851,,DST_0108,48.31875,UNKNOWN
DST_0109,West Delhi,Delhi NCR,2543243,100,0,High,5595,,DST_0109,49.40833333333333,UNKNOWN
DST_0110,Shahdara,Delhi NCR,1500000,100,0,Medium-High,3300,,DST_0110,62.65541666666667,RELIABLE
DST_0111,Lucknow,Uttar Pradesh,4589838,66,34,High,7912,,DST_0111,62.12916666666666,RELIABLE
DST_0112,Kanpur Nagar,Uttar Pradesh,4581268,66,34,High,7898,,DST_0112,43.02333333333333,UNKNOWN
DST_0113,Varanasi,Uttar Pradesh,3676841,43,57,Medium-High,5154,,DST_0113,70.00208333333333,RELIABLE
DST_0114,Prayagraj,Uttar Pradesh,5954391,25,75,Medium-High,6847,,DST_0114,40.566250000000004,UNKNOWN
DST_0115,Agra,Uttar Pradesh,4418797,46,54,Medium-High,6380,,DST_0115,61.635416666666664,RELIABLE
DST_0116,Meerut,Uttar Pradesh,3443689,51,49,High,5213,,DST_0116,77.50333333333333,RELIABLE
DST_0117,Ghaziabad,Uttar Pradesh,4681645,67,33,High,8136,,DST_0117,44.23458333333334,UNKNOWN
DST_0118,Gautam Buddha Nagar,Uttar Pradesh,1648115,59,41,High,2679,,DST_0118,13.879583333333334,UNKNOWN
DST_0119,Bareilly,Uttar Pradesh,4448359,35,65,Medium,5738,,DST_0119,53.5,UNKNOWN
DST_0120,Aligarh,Uttar Pradesh,3673889,33,67,Medium,4636,,DST_0120,39.69916666666666,UNKNOWN
DST_0121,Moradabad,Uttar Pradesh,4772006,33,67,Medium,6022,,DST_0121,58.03,UNKNOWN
DST_0122,Saharanpur,Uttar Pradesh,3466382,30,70,Medium,4228,,DST_0122,50.83416666666667,UNKNOWN
DST_0123,Gorakhpur,Uttar Pradesh,4440895,19,81,Medium,4733,,DST_0123,57.99583333333334,UNKNOWN
DST_0124,Jhansi,Uttar Pradesh,1998603,42,58,Medium,2774,,DST_0124,51.038333333333334,UNKNOWN
DST_0125,Mathura,Uttar Pradesh,2547184,30,70,Medium,3107,,DST_0125,35.1925,UNKNOWN
DST_0126,Ayodhya,Uttar Pradesh,2470996,14,86,Medium,2461,,DST_0126,44.18083333333333,UNKNOWN
DST_0127,Muzaffarnagar,Uttar Pradesh,4143512,29,71,Medium,4997,,DST_0127,35.33416666666667,UNKNOWN
DST_0128,Firozabad,Uttar Pradesh,2498156,34,66,Medium,3187,,DST_0128,62.91791666666666,RELIABLE
DST_0129,Budaun,Uttar Pradesh,3681896,17,83,Low,3821,,DST_0129,62.26625000000001,RELIABLE
DST_0130,Shahjahanpur,Uttar Pradesh,3006538,20,80,Low-Medium,3247,,DST_0130,59.98083333333333,UNKNOWN
DST_0131,Rampur,Uttar Pradesh,2335819,25,75,Low-Medium,2686,,DST_0131,44.885416666666664,UNKNOWN
DST_0132,Mirzapur,Uttar Pradesh,2496970,14,86,Low-Medium,2486,,DST_0132,37.27166666666667,UNKNOWN
DST_0133,Bulandshahr,Uttar Pradesh,3499171,25,75,Medium,4024,,DST_0133,60.65291666666667,RELIABLE
DST_0134,Sambhal,Uttar Pradesh,2192790,18,82,Low,2306,,DST_0134,63.09625,RELIABLE
DST_0135,Amroha,Uttar Pradesh,1840221,25,75,Low-Medium,2116,,DST_0135,37.389583333333334,UNKNOWN
DST_0136,Hardoi,Uttar Pradesh,4092845,13,87,Low,4019,,DST_0136,52.59375,UNKNOWN
DST_0137,Fatehpur,Uttar Pradesh,2632733,12,88,Low-Medium,2548,,DST_0137,37.4925,UNKNOWN
DST_0138,Raebareli,Uttar Pradesh,3405559,9,91,Low-Medium,3153,,DST_0138,57.80375,UNKNOWN
DST_0139,Sitapur,Uttar Pradesh,4483992,12,88,Low,4340,,DST_0139,57.718333333333334,UNKNOWN
DST_0140,Unnao,Uttar Pradesh,3108367,17,83,Low-Medium,3226,,DST_0140,38.83625,UNKNOWN
DST_0141,Jaunpur,Uttar Pradesh,4494204,8,92,Low-Medium,4098,,DST_0141,48.599583333333335,UNKNOWN
DST_0142,Barabanki,Uttar Pradesh,3260699,10,90,Low-Medium,3065,,DST_0142,50.362500000000004,UNKNOWN
DST_0143,Basti,Uttar Pradesh,2464464,6,94,Low,2178,,DST_0143,42.78,UNKNOWN
DST_0144,Deoria,Uttar Pradesh,3100946,10,90,Low,2914,,DST_0144,61.48375000000001,RELIABLE
DST_0145,Gonda,Uttar Pradesh,3433919,7,93,Low,3083,,DST_0145,47.88708333333333,UNKNOWN
DST_0146,Sultanpur,Uttar Pradesh,3797117,5,95,Low-Medium,3303,,DST_0146,41.08708333333333,UNKNOWN
DST_0147,Ballia,Uttar Pradesh,3239774,9,91,Low-Medium,3000,,DST_0147,51.278333333333336,UNKNOWN
DST_0148,Lakhimpur Kheri,Uttar Pradesh,4021243,11,89,Low,3836,,DST_0148,56.37583333333333,UNKNOWN
DST_0149,Bijnor,Uttar Pradesh,3682713,25,75,Medium,4235,,DST_0149,41.12291666666667,UNKNOWN
DST_0150,Ghazipur,Uttar Pradesh,3620268,8,92,Low-Medium,3301,,DST_0150,44.504999999999995,UNKNOWN
DST_0151,Ahmedabad,Gujarat,7214225,84,16,High,14255,,DST_0151,88.58125,RELIABLE
DST_0152,Surat,Gujarat,6081322,80,20,High,11676,,DST_0152,73.59125,RELIABLE
DST_0153,Vadodara,Gujarat,4165626,50,50,High,6248,,DST_0153,65.11916666666667,RELIABLE
DST_0154,Rajkot,Gujarat,3804556,58,42,High,6132,,DST_0154,65.09083333333334,RELIABLE
DST_0155,Bhavnagar,Gujarat,2880365,41,59,Medium-High,3957,,DST_0155,39.08625,UNKNOWN
DST_0156,Jamnagar,Gujarat,2160119,45,55,Medium-High,3088,,DST_0156,42.27791666666666,UNKNOWN
DST_0157,Junagadh,Gujarat,2743082,33,67,Medium,3461,,DST_0157,44.901250000000005,UNKNOWN
DST_0158,Gandhinagar,Gujarat,1391753,43,57,High,1951,,DST_0158,14.074583333333335,UNKNOWN
DST_0159,Anand,Gujarat,2092745,30,70,Medium-High,2553,,DST_0159,11.340416666666668,UNKNOWN
DST_0160,Navsari,Gujarat,1329672,51,49,Medium-High,2013,,DST_0160,42.16375,UNKNOWN
DST_0161,Morbi,Gujarat,960329,37,63,High,1265,,DST_0161,37.35,UNKNOWN
DST_0162,Bharuch,Gujarat,1551019,34,66,Medium-High,1979,,DST_0162,53.8725,UNKNOWN
DST_0163,Valsad,Gujarat,1705678,37,63,Medium-High,2248,,DST_0163,41.05291666666667,UNKNOWN
DST_0164,Porbandar,Gujarat,585449,49,51,Medium,869,,DST_0164,62.20458333333334,RELIABLE
DST_0165,Mehsana,Gujarat,2035064,25,75,Medium-High,2340,,DST_0165,61.03541666666666,RELIABLE
DST_0166,Kutch,Gujarat,2092371,35,65,Medium,2699,,DST_0166,37.214166666666664,UNKNOWN
DST_0167,Banaskantha,Gujarat,3120506,13,87,Low-Medium,3064,,DST_0167,41.88166666666667,UNKNOWN
DST_0168,Patan,Gujarat,1343734,21,79,Low-Medium,1470,,DST_0168,54.32125,UNKNOWN
DST_0169,Sabarkantha,Gujarat,2428697,15,85,Low-Medium,2452,,DST_0169,41.871249999999996,UNKNOWN
DST_0170,Aravalli,Gujarat,1039918,12,88,Low-Medium,1006,,DST_0170,16.268333333333334,UNKNOWN
DST_0171,Kheda,Gujarat,2299885,23,77,Medium,2580,,DST_0171,62.718333333333334,RELIABLE
DST_0172,Mahisagar,Gujarat,994624,10,90,Low,934,,DST_0172,21.628333333333334,UNKNOWN
DST_0173,Panchmahal,Gujarat,2390776,14,86,Low-Medium,2381,,DST_0173,49.199999999999996,UNKNOWN
DST_0174,Dahod,Gujarat,2127086,9,91,Low,1969,,DST_0174,60.44416666666667,RELIABLE
DST_0175,Chhota Udaipur,Gujarat,1071831,7,93,Low,962,,DST_0175,25.50708333333333,UNKNOWN
DST_0176,Narmada,Gujarat,590297,10,90,Low,554,,DST_0176,16.919583333333332,UNKNOWN
DST_0177,Tapi,Gujarat,807022,10,90,Low,758,,DST_0177,15.101666666666667,UNKNOWN
DST_0178,Dang,Gujarat,228291,11,89,Low,217,,DST_0178,49.94416666666667,UNKNOWN
DST_0179,Gir Somnath,Gujarat,1217477,28,72,Medium,1451,,DST_0179,47.51958333333334,UNKNOWN
DST_0180,Amreli,Gujarat,1514120,26,74,Medium,1762,,DST_0180,48.38375,UNKNOWN
DST_0181,Surendranagar,Gujarat,1756268,28,72,Medium,2093,,DST_0181,56.80375,UNKNOWN
DST_0182,Botad,Gujarat,652556,33,67,Medium,823,,DST_0182,55.31625,UNKNOWN
DST_0183,Devbhumi Dwarka,Gujarat,752484,28,72,Medium,896,,DST_0183,64.93166666666666,RELIABLE
DST_0184,Kolkata,West Bengal,4496694,100,0,High,9892,,DST_0184,83.06125,RELIABLE
DST_0185,North 24 Parganas,West Bengal,10009781,57,43,High,15995,,DST_0185,46.845416666666665,UNKNOWN
DST_0186,South 24 Parganas,West Bengal,8161961,26,74,Medium,9500,,DST_0186,45.812916666666666,UNKNOWN
DST_0187,Howrah,West Bengal,4850029,63,37,High,8157,,DST_0187,16.594583333333333,UNKNOWN
DST_0188,Hooghly,West Bengal,5519145,39,61,Medium-High,7428,,DST_0188,64.43583333333333,RELIABLE
DST_0189,Paschim Medinipur,West Bengal,5913457,12,88,Low-Medium,5724,,DST_0189,40.53,UNKNOWN
DST_0190,Purba Medinipur,West Bengal,5095875,12,88,Medium,4932,,DST_0190,48.213750000000005,UNKNOWN
DST_0191,Purba Bardhaman,West Bengal,4835532,40,60,Medium-High,6576,,DST_0191,47.430416666666666,UNKNOWN
DST_0192,Paschim Bardhaman,West Bengal,2882031,80,20,High,5533,,DST_0192,60.54291666666666,RELIABLE
DST_0193,Nadia,West Bengal,5167600,28,72,Medium,6159,,DST_0193,41.77583333333333,UNKNOWN
DST_0194,Murshidabad,West Bengal,7103808,20,80,Low-Medium,7672,,DST_0194,62.486250000000005,RELIABLE
DST_0195,Malda,West Bengal,3988845,14,86,Low-Medium,3972,,DST_0195,48.248333333333335,UNKNOWN
DST_0196,Jalpaiguri,West Bengal,3872846,27,73,Medium,4562,,DST_0196,61.32583333333333,RELIABLE
DST_0197,Darjeeling,West Bengal,1846823,39,61,Medium-High,2485,,DST_0197,51.376666666666665,UNKNOWN
DST_0198,Kalimpong,West Bengal,251642,28,72,Medium,299,,DST_0198,36.348333333333336,UNKNOWN
DST_0199,Alipurduar,West Bengal,1491250,18,82,Low-Medium,1568,,DST_0199,27.555000000000003,UNKNOWN
DST_0200,Cooch Behar,West Bengal,2819086,10,90,Low-Medium,2649,,DST_0200,60.55041666666667,RELIABLE
DST_0201,Uttar Dinajpur,West Bengal,3007134,12,88,Low,2910,,DST_0201,64.54625,RELIABLE
DST_0202,Dakshin Dinajpur,West Bengal,1676276,14,86,Low,1669,,DST_0202,62.1475,RELIABLE
DST_0203,Birbhum,West Bengal,3502404,13,87,Low-Medium,3439,,DST_0203,60.3175,RELIABLE
DST_0204,Bankura,West Bengal,3596674,8,92,Low,3280,,DST_0204,40.606249999999996,UNKNOWN
DST_0205,Purulia,West Bengal,2930115,13,87,Low,2877,,DST_0205,52.142500000000005,UNKNOWN
DST_0206,Jhargram,West Bengal,1136548,9,91,Low,1052,,DST_0206,16.932916666666667,UNKNOWN
DST_0207,Hyderabad,Telangana,3943323,100,0,High,8675,,DST_0207,83.76,RELIABLE
DST_0208,Medchal-Malkajgiri,Telangana,2440073,91,9,High,5060,,DST_0208,36.9625,UNKNOWN
DST_0209,Rangareddy,Telangana,2446265,59,41,High,3977,,DST_0209,12.164583333333333,UNKNOWN
DST_0210,Sangareddy,Telangana,1527462,35,65,Medium-High,1970,,DST_0210,17.420416666666668,UNKNOWN
DST_0211,Warangal,Telangana,718338,37,63,Medium-High,946,,DST_0211,60.32666666666666,RELIABLE
DST_0212,Hanumakonda,Telangana,1081852,69,31,Medium-High,1910,,DST_0212,59.23458333333334,UNKNOWN
DST_0213,Karimnagar,Telangana,1005711,31,69,Medium-High,1241,,DST_0213,68.73666666666666,RELIABLE
DST_0214,Nizamabad,Telangana,1571022,30,70,Medium,1916,,DST_0214,47.916666666666664,UNKNOWN
DST_0215,Khammam,Telangana,1401639,23,77,Medium,1572,,DST_0215,63.44875,RELIABLE
DST_0216,Nalgonda,Telangana,1618416,13,87,Medium,1589,,DST_0216,65.73833333333333,RELIABLE
DST_0217,Mahabubnagar,Telangana,1486777,21,79,Low-Medium,1626,,DST_0217,54.43208333333333,UNKNOWN
DST_0218,Suryapet,Telangana,1099526,15,85,Low-Medium,1110,,DST_0218,24.328333333333333,UNKNOWN
DST_0219,Siddipet,Telangana,1012065,14,86,Medium,1008,,DST_0219,15.862499999999999,UNKNOWN
DST_0220,Jagtial,Telangana,985417,22,78,Medium,1091,,DST_0220,43.752916666666664,UNKNOWN
DST_0221,Kamareddy,Telangana,972625,13,87,Low-Medium,955,,DST_0221,27.53916666666667,UNKNOWN
DST_0222,Mancherial,Telangana,807037,44,56,Medium,1142,,DST_0222,52.465833333333336,UNKNOWN
DST_0223,Nirmal,Telangana,709418,21,79,Low-Medium,776,,DST_0223,51.185833333333335,UNKNOWN
DST_0224,Bhadradri Kothagudem,Telangana,1069261,32,68,Medium,1334,,DST_0224,57.18541666666667,UNKNOWN
DST_0225,Peddapalli,Telangana,795332,38,62,Medium,1059,,DST_0225,36.483333333333334,UNKNOWN
DST_0226,Vikarabad,Telangana,927140,13,87,Low-Medium,910,,DST_0226,22.57166666666667,UNKNOWN
DST_0227,Nagarkurnool,Telangana,893308,10,90,Low,839,,DST_0227,21.364583333333332,UNKNOWN
DST_0228,Wanaparthy,Telangana,577758,16,84,Low-Medium,591,,DST_0228,26.805000000000003,UNKNOWN
DST_0229,Jogulamba Gadwal,Telangana,609990,10,90,Low,573,,DST_0229,16.204583333333336,UNKNOWN
DST_0230,Medak,Telangana,767428,8,92,Low-Medium,699,,DST_0230,26.879166666666666,UNKNOWN
DST_0231,Rajanna Sircilla,Telangana,552037,21,79,Low-Medium,603,,DST_0231,37.567083333333336,UNKNOWN
DST_0232,Jayashankar Bhupalpally,Telangana,416763,8,92,Low,380,,DST_0232,16.665416666666665,UNKNOWN
DST_0233,Jangaon,Telangana,566376,13,87,Low-Medium,556,,DST_0233,22.207916666666666,UNKNOWN
DST_0234,Mulugu,Telangana,257744,4,96,Low,220,,DST_0234,23.12875,UNKNOWN
DST_0235,Yadadri Bhuvanagiri,Telangana,739448,17,83,Medium,767,,DST_0235,17.15625,UNKNOWN
DST_0236,Mahabubabad,Telangana,774549,10,90,Low,728,,DST_0236,15.589583333333332,UNKNOWN
DST_0237,Kumuram Bheem Asifabad,Telangana,515812,17,83,Low,535,,DST_0237,26.194999999999997,UNKNOWN
DST_0238,Narayanpet,Telangana,566874,12,88,Low,548,,DST_0238,17.917083333333334,UNKNOWN
DST_0239,Jaipur,Rajasthan,6626178,52,48,High,10124,,DST_0239,52.419999999999995,UNKNOWN
