WCI_Rank,district_id,Demand_Signal,Mean_Distribution_Gap,Valid_Audit_Cycles,Mean_Panel_Coverage_Pct_x,Coverage_Status_x,Total_Population,Estimated_Total_Retail_Universe,District_Code_x,Mean_Panel_Coverage_Pct_y,Coverage_Status_y,District_Code_y,Mean_Panel_Coverage_Pct,Coverage_Status,Market_Opportunity,Competitive_Intensity,WCI,WCI_Priority,Recommended_Target
11,DST_0246,0.8529411764705883,0.9290787536675932,24,69.42958333333333,RELIABLE,3674179,3865,DST_0246,69.42958333333333,RELIABLE,DST_0246,69.42958333333333,RELIABLE,HIGH_OPPORTUNITY,0.36221748596964803,0.8365575960014926,HIGH,RECOMMENDED
12,DST_0154,0.8666666666666667,0.9268485604152441,24,65.09083333333334,RELIABLE,3804556,6132,DST_0154,65.09083333333334,RELIABLE,DST_0154,65.09083333333334,RELIABLE,HIGH_OPPORTUNITY,0.39013689516651573,0.8363696171120323,HIGH,RECOMMENDED
13,DST_0153,0.7828431372549018,0.9305140013474963,24,65.11916666666667,RELIABLE,4165626,6248,DST_0153,65.11916666666667,RELIABLE,DST_0153,65.11916666666667,RELIABLE,HIGH_OPPORTUNITY,0.3863688685624681,0.800685538523836,HIGH,RECOMMENDED
14,DST_0039,0.7343137254901961,0.9306873269103043,24,72.03666666666668,RELIABLE,4779661,5496,DST_0039,72.03666666666668,RELIABLE,DST_0039,72.03666666666668,RELIABLE,HIGH_OPPORTUNITY,0.37894285343982115,0.7803931702012306,HIGH,RECOMMENDED
15,DST_0241,0.9686274509803923,0.6674860923701722,24,68.01291666666667,RELIABLE,1951014,3199,DST_0241,68.01291666666667,RELIABLE,DST_0241,68.01291666666667,RELIABLE,HIGH_OPPORTUNITY,0.4673483517881132,0.7760328149131142,HIGH,RECOMMENDED
16,DST_0213,0.9524509803921569,0.6580435345118696,24,68.73666666666666,RELIABLE,1005711,1241,DST_0213,68.73666666666666,RELIABLE,DST_0213,68.73666666666666,RELIABLE,HIGH_OPPORTUNITY,0.4340693306082664,0.7721043121339717,HIGH,RECOMMENDED
17,DST_0272,0.9583333333333333,0.6677405949217836,24,65.16625,RELIABLE,2218000,3948,DST_0272,65.16625,RELIABLE,DST_0272,65.16625,RELIABLE,HIGH_OPPORTUNITY,0.4743036432824832,0.7700984795661276,HIGH,RECOMMENDED
18,DST_0273,0.9549019607843138,0.6561216686728497,24,73.24041666666666,RELIABLE,2091000,3575,DST_0273,73.24041666666666,RELIABLE,DST_0273,73.24041666666666,RELIABLE,HIGH_OPPORTUNITY,0.4771732607111037,0.7639138142462178,HIGH,RECOMMENDED
19,DST_0038,0.928921568627451,0.6837774362705891,24,72.08708333333333,RELIABLE,3001127,4123,DST_0038,72.08708333333333,RELIABLE,DST_0038,72.08708333333333,RELIABLE,HIGH_OPPORTUNITY,0.4861374395062832,0.7601093206758025,HIGH,RECOMMENDED
20,DST_0299,0.9220588235294118,0.6726655671944985,23,60.99208333333333,RELIABLE,2463289,3970,DST_0299,60.99208333333333,RELIABLE,DST_0299,60.99208333333333,RELIABLE,HIGH_OPPORTUNITY,0.47475673115631095,0.7554080728750476,HIGH,RECOMMENDED
21,DST_0243,0.9333333333333333,0.6567107760844606,24,70.20833333333333,RELIABLE,2583052,3512,DST_0243,70.20833333333333,RELIABLE,DST_0243,70.20833333333333,RELIABLE,HIGH_OPPORTUNITY,0.47389453645456914,0.7550698643386474,HIGH,RECOMMENDED
22,DST_0297,0.9299019607843138,0.6681036413719633,24,68.48875,RELIABLE,3276697,6016,DST_0297,68.48875,RELIABLE,DST_0297,68.48875,RELIABLE,HIGH_OPPORTUNITY,0.5055777677033024,0.7511766032924678,HIGH,RECOMMENDED
23,DST_0330,0.9303921568627451,0.662416708031781,24,76.81916666666667,RELIABLE,3121200,5424,DST_0330,76.81916666666667,RELIABLE,DST_0330,76.81916666666667,RELIABLE,HIGH_OPPORTUNITY,0.49875534887067785,0.7507712486252232,HIGH,RECOMMENDED
24,DST_0066,0.8941176470588235,0.671181879611095,23,75.52333333333333,RELIABLE,3458045,6445,DST_0066,75.52333333333333,RELIABLE,DST_0066,75.52333333333333,RELIABLE,HIGH_OPPORTUNITY,0.5145353624900609,0.7343595265423417,HIGH,RECOMMENDED
25,DST_0116,0.8794117647058823,0.6603856859486427,24,77.50333333333333,RELIABLE,3443689,5213,DST_0116,77.50333333333333,RELIABLE,DST_0116,77.50333333333333,RELIABLE,HIGH_OPPORTUNITY,0.5037010999914913,0.7261300642013738,HIGH,RECOMMENDED
26,DST_0113,0.8588235294117648,0.6597263801488291,24,70.00208333333333,RELIABLE,3676841,5154,DST_0113,70.00208333333333,RELIABLE,DST_0113,70.00208333333333,RELIABLE,HIGH_OPPORTUNITY,0.49933366110157085,0.7175080890670702,HIGH,RECOMMENDED
27,DST_0313,0.8848039215686274,0.464044310413648,23,41.915416666666665,UNKNOWN,1241519,1427,DST_0313,41.915416666666665,UNKNOWN,DST_0313,41.915416666666665,UNKNOWN,OTHER,0.2430611598435152,0.711965041381956,HIGH,NOT_RECOMMENDED
28,DST_0009,0.8117647058823529,0.6726206181500823,23,68.17625,RELIABLE,3876001,4837,DST_0009,68.17625,RELIABLE,DST_0009,68.17625,RELIABLE,HIGH_OPPORTUNITY,0.4935327412432442,0.7020047857509388,HIGH,RECOMMENDED
29,DST_0007,0.5151960784313725,0.9309446701428855,24,72.07000000000001,RELIABLE,6107187,8562,DST_0007,72.07000000000001,RELIABLE,DST_0007,72.07000000000001,RELIABLE,OTHER,0.4062608667803066,0.6764166964880662,MEDIUM,NOT_RECOMMENDED
30,DST_0049,0.7833333333333333,0.4926735194028707,23,53.89125000000001,UNKNOWN,1805769,1874,DST_0049,53.89125000000001,UNKNOWN,DST_0049,53.89125000000001,UNKNOWN,OTHER,0.2511594970282823,0.6747038323853483,MEDIUM,NOT_RECOMMENDED
31,DST_0311,0.8691176470588236,0.3695801473675336,23,61.97208333333333,RELIABLE,1703005,1958,DST_0311,61.97208333333333,RELIABLE,DST_0311,61.97208333333333,RELIABLE,OTHER,0.2557270895938083,0.6693105748363457,MEDIUM,NOT_RECOMMENDED
32,DST_0089,0.8205882352941176,0.4338641397867417,24,38.288333333333334,UNKNOWN,1339101,1652,DST_0089,38.288333333333334,UNKNOWN,DST_0089,38.288333333333334,UNKNOWN,OTHER,0.26092948673466115,0.6689312574607802,MEDIUM,NOT_RECOMMENDED
33,DST_0254,0.7916666666666667,0.45262085918350026,23,48.637499999999996,UNKNOWN,1421411,1574,DST_0254,48.637499999999996,UNKNOWN,DST_0254,48.637499999999996,UNKNOWN,OTHER,0.24143586968669978,0.6663801267768852,MEDIUM,NOT_RECOMMENDED
34,DST_0052,0.7519607843137255,0.5011293259127266,23,41.077083333333334,UNKNOWN,1700018,1955,DST_0052,41.077083333333334,UNKNOWN,DST_0052,41.077083333333334,UNKNOWN,OTHER,0.25079714034102657,0.6636181889424254,MEDIUM,NOT_RECOMMENDED
35,DST_0023,0.7725490196078431,0.4780439339752829,24,45.26166666666666,UNKNOWN,2455543,2823,DST_0023,45.26166666666666,UNKNOWN,DST_0023,45.26166666666666,UNKNOWN,OTHER,0.25685037192176974,0.6635923613305243,MEDIUM,NOT_RECOMMENDED
36,DST_0104,0.7916666666666667,0.4556257581061678,24,51.305,UNKNOWN,2241624,4931,DST_0104,51.305,UNKNOWN,DST_0104,51.305,UNKNOWN,OTHER,0.2757205540903148,0.6605749045190958,MEDIUM,NOT_RECOMMENDED
37,DST_0043,0.7872549019607843,0.42448188739868625,24,42.64875,UNKNOWN,1752759,2285,DST_0043,42.64875,UNKNOWN,DST_0043,42.64875,UNKNOWN,OTHER,0.2448536483834982,0.6538626367951935,MEDIUM,NOT_RECOMMENDED
38,DST_0101,0.7382352941176471,0.47028805959389913,24,34.72375,UNKNOWN,1709346,3760,DST_0101,34.72375,UNKNOWN,DST_0101,34.72375,UNKNOWN,OTHER,0.25872268480691624,0.6450621662494227,MEDIUM,NOT_RECOMMENDED
39,DST_0103,0.7063725490196079,0.5026812743819253,24,55.397083333333335,UNKNOWN,887978,1953,DST_0103,55.397083333333335,UNKNOWN,DST_0103,55.397083333333335,UNKNOWN,OTHER,0.2520208667164903,0.6434019197491994,MEDIUM,NOT_RECOMMENDED
40,DST_0181,0.7338235294117647,0.4549437250638273,24,56.80375,UNKNOWN,1756268,2093,DST_0181,56.80375,UNKNOWN,DST_0181,56.80375,UNKNOWN,OTHER,0.2574552200770037,0.6379598479922329,MEDIUM,NOT_RECOMMENDED
41,DST_0320,0.7519607843137255,0.4176900229723939,24,62.67333333333334,RELIABLE,1241350,1531,DST_0320,62.67333333333334,RELIABLE,DST_0320,62.67333333333334,RELIABLE,OTHER,0.24953312605471495,0.6346672357705714,MEDIUM,NOT_RECOMMENDED
42,DST_0098,0.7534313725490196,0.4219297567828578,23,51.212916666666665,UNKNOWN,1942288,2940,DST_0098,51.212916666666665,UNKNOWN,DST_0098,51.212916666666665,UNKNOWN,OTHER,0.26154528378023545,0.634410475765012,MEDIUM,NOT_RECOMMENDED
43,DST_0248,0.7362745098039216,0.44104519355641775,24,47.245000000000005,UNKNOWN,2548462,2716,DST_0248,47.245000000000005,UNKNOWN,DST_0248,47.245000000000005,UNKNOWN,OTHER,0.2582703099068875,0.6340352851751334,MEDIUM,NOT_RECOMMENDED
44,DST_0100,0.9568627450980391,0.35480044845966746,23,87.26625,RELIABLE,582320,1281,DST_0100,87.26625,RELIABLE,DST_0100,87.26625,RELIABLE,OTHER,0.6187544370552858,0.631017504843944,MEDIUM,NOT_RECOMMENDED
45,DST_0081,0.7058823529411764,0.4631549695569712,24,50.907916666666665,UNKNOWN,1879809,2109,DST_0081,50.907916666666665,UNKNOWN,DST_0081,50.907916666666665,UNKNOWN,OTHER,0.24767527261603078,0.6302162436452632,MEDIUM,NOT_RECOMMENDED
46,DST_0288,0.6911764705882353,0.47582843526913426,24,38.168749999999996,UNKNOWN,2041000,2347,DST_0288,38.168749999999996,UNKNOWN,DST_0288,38.168749999999996,UNKNOWN,OTHER,0.24966934081333497,0.6276354959462359,MEDIUM,NOT_RECOMMENDED
47,DST_0264,0.7127450980392157,0.4412309926337253,24,40.33541666666667,UNKNOWN,1036346,1119,DST_0264,40.33541666666667,UNKNOWN,DST_0264,40.33541666666667,UNKNOWN,OTHER,0.24417074210742937,0.6263319931179651,MEDIUM,NOT_RECOMMENDED
48,DST_0067,0.6980392156862745,0.4682479599860447,24,41.96375,UNKNOWN,3038252,5025,DST_0067,41.96375,UNKNOWN,DST_0067,41.96375,UNKNOWN,OTHER,0.27573738951095705,0.6228569551517478,MEDIUM,NOT_RECOMMENDED
49,DST_0045,0.7078431372549019,0.441337725013903,24,38.05958333333333,UNKNOWN,2452595,3232,DST_0045,38.05958333333333,UNKNOWN,DST_0045,38.05958333333333,UNKNOWN,OTHER,0.254102479171156,0.6221771196853407,MEDIUM,NOT_RECOMMENDED
50,DST_0332,0.6642156862745098,0.5008171739129385,24,42.624583333333334,UNKNOWN,2523003,4314,DST_0332,42.624583333333334,UNKNOWN,DST_0332,42.624583333333334,UNKNOWN,OTHER,0.2647642084694496,0.6212302279991679,MEDIUM,NOT_RECOMMENDED
51,DST_0102,0.6813725490196079,0.4545387198979515,24,56.385,UNKNOWN,142004,312,DST_0102,56.385,UNKNOWN,DST_0102,56.385,UNKNOWN,OTHER,0.2296084440625656,0.6197845102105934,MEDIUM,NOT_RECOMMENDED
52,DST_0300,0.6911764705882353,0.4555362726272558,24,61.73375000000001,RELIABLE,2032036,3417,DST_0300,61.73375000000001,RELIABLE,DST_0300,61.73375000000001,RELIABLE,OTHER,0.2561503505419221,0.6192370370758611,MEDIUM,NOT_RECOMMENDED
53,DST_0110,0.6936274509803921,0.4440511838149162,24,62.65541666666667,RELIABLE,1500000,3300,DST_0110,62.65541666666667,RELIABLE,DST_0110,62.65541666666667,RELIABLE,OTHER,0.25607580301090027,0.6163351066742171,MEDIUM,NOT_RECOMMENDED
54,DST_0111,0.6970588235294117,0.4554086076067648,23,62.12916666666666,RELIABLE,4589838,7912,DST_0111,62.12916666666666,RELIABLE,DST_0111,62.12916666666666,RELIABLE,OTHER,0.28978238626848246,0.6151130059969064,MEDIUM,NOT_RECOMMENDED
55,DST_0169,0.6725490196078432,0.45766529938480344,24,41.871249999999996,UNKNOWN,2428697,2452,DST_0169,41.871249999999996,UNKNOWN,DST_0169,41.871249999999996,UNKNOWN,OTHER,0.2513845927974362,0.6125529950487234,MEDIUM,NOT_RECOMMENDED
56,DST_0305,0.6838235294117647,0.43865383440366884,24,39.40083333333333,UNKNOWN,1455069,1775,DST_0305,39.40083333333333,UNKNOWN,DST_0305,39.40083333333333,UNKNOWN,OTHER,0.24735367740966646,0.6117786947946449,MEDIUM,NOT_RECOMMENDED
57,DST_0323,0.6735294117647059,0.4512770438522027,24,59.54208333333333,UNKNOWN,1575362,1701,DST_0323,59.54208333333333,UNKNOWN,DST_0323,59.54208333333333,UNKNOWN,OTHER,0.25600519979382497,0.6098341606836236,MEDIUM,NOT_RECOMMENDED
58,DST_0303,0.5740196078431373,0.5747195890950766,24,16.449166666666667,UNKNOWN,1563715,1885,DST_0303,16.449166666666667,UNKNOWN,DST_0303,16.449166666666667,UNKNOWN,OTHER,0.24817783516490466,0.6098251126797076,MEDIUM,NOT_RECOMMENDED
59,DST_0077,0.5588235294117647,0.5823028248800382,24,16.336666666666666,UNKNOWN,2556244,4478,DST_0077,16.336666666666666,UNKNOWN,DST_0077,16.336666666666666,UNKNOWN,OTHER,0.25597148839068695,0.6040822792651701,MEDIUM,NOT_RECOMMENDED
60,DST_0025,0.6769607843137255,0.4298822714651423,24,63.903333333333336,RELIABLE,1959046,2088,DST_0025,63.903333333333336,RELIABLE,DST_0025,63.903333333333336,RELIABLE,OTHER,0.2588035841382657,0.6033304311263232,MEDIUM,NOT_RECOMMENDED
61,DST_0106,0.8931372549019607,0.4102968446353299,24,85.90708333333333,RELIABLE,2731929,5971,DST_0106,85.90708333333333,RELIABLE,DST_0106,85.90708333333333,RELIABLE,OTHER,0.7155029352408308,0.6024150732800817,MEDIUM,NOT_RECOMMENDED
62,DST_0002,0.9264705882352942,0.3784997734846147,24,82.07041666666667,RELIABLE,3085411,6787,DST_0002,82.07041666666667,RELIABLE,DST_0002,82.07041666666667,RELIABLE,OTHER,0.7357444867441238,0.6022377880766727,MEDIUM,NOT_RECOMMENDED
63,DST_0073,0.6367647058823529,0.47859881217764255,24,61.17916666666667,RELIABLE,1614242,2263,DST_0073,61.17916666666667,RELIABLE,DST_0073,61.17916666666667,RELIABLE,OTHER,0.26097316317121405,0.6018590692749909,MEDIUM,NOT_RECOMMENDED
64,DST_0041,0.5544117647058823,0.5846307838839787,24,15.219583333333333,UNKNOWN,2089649,3075,DST_0041,15.219583333333333,UNKNOWN,DST_0041,15.219583333333333,UNKNOWN,OTHER,0.2616301928439942,0.6017800299082408,MEDIUM,NOT_RECOMMENDED
65,DST_0109,0.6990196078431372,0.40000236806696976,24,49.40833333333333,UNKNOWN,2543243,5595,DST_0109,49.40833333333333,UNKNOWN,DST_0109,49.40833333333333,UNKNOWN,OTHER,0.27539202470400437,0.5994812474120503,MEDIUM,NOT_RECOMMENDED
66,DST_0037,0.6318627450980392,0.4631149760766288,24,59.397083333333335,UNKNOWN,990923,1167,DST_0037,59.397083333333335,UNKNOWN,DST_0037,59.397083333333335,UNKNOWN,OTHER,0.2351798482835512,0.5993925072642275,MEDIUM,NOT_RECOMMENDED
67,DST_0180,0.6475490196078432,0.4499105838171291,24,48.38375,UNKNOWN,1514120,1762,DST_0180,48.38375,UNKNOWN,DST_0180,48.38375,UNKNOWN,OTHER,0.24880226161078625,0.5991053108373674,MEDIUM,NOT_RECOMMENDED
68,DST_0084,0.6759803921568628,0.40434069729534244,24,61.70166666666666,RELIABLE,735394,1195,DST_0084,61.70166666666666,RELIABLE,DST_0084,61.70166666666666,RELIABLE,OTHER,0.23511154817190943,0.5986881108895762,MEDIUM,NOT_RECOMMENDED
69,DST_0072,0.6490196078431373,0.44938132938543923,24,63.94916666666666,RELIABLE,2251744,3409,DST_0072,63.94916666666666,RELIABLE,DST_0072,63.94916666666666,RELIABLE,OTHER,0.2583607703895526,0.597670134736405,MEDIUM,NOT_RECOMMENDED
70,DST_0200,0.6470588235294117,0.44720554114819433,24,60.55041666666667,RELIABLE,2819086,2649,DST_0200,60.55041666666667,RELIABLE,DST_0200,60.55041666666667,RELIABLE,OTHER,0.25086220797005737,0.5975259683960918,MEDIUM,NOT_RECOMMENDED
71,DST_0070,0.6568627450980392,0.43146961119006616,24,43.29791666666667,UNKNOWN,1665253,2474,DST_0070,43.29791666666667,UNKNOWN,DST_0070,43.29791666666667,UNKNOWN,OTHER,0.25005852987007005,0.5965908932366268,MEDIUM,NOT_RECOMMENDED
72,DST_0122,0.6779411764705883,0.41787808045298047,24,50.83416666666667,UNKNOWN,3466382,4228,DST_0122,50.83416666666667,UNKNOWN,DST_0122,50.83416666666667,UNKNOWN,OTHER,0.2741404319456685,0.5965027711811742,MEDIUM,NOT_RECOMMENDED
73,DST_0134,0.6965686274509804,0.3840646200798658,24,63.09625,RELIABLE,2192790,2306,DST_0134,63.09625,RELIABLE,DST_0134,63.09625,RELIABLE,OTHER,0.2609749231325587,0.5956835147543824,MEDIUM,NOT_RECOMMENDED
74,DST_0326,0.6215686274509804,0.47642892146446786,24,56.75958333333333,UNKNOWN,2185793,2330,DST_0326,56.75958333333333,UNKNOWN,DST_0326,56.75958333333333,UNKNOWN,OTHER,0.2545093454572309,0.5955541357740588,MEDIUM,NOT_RECOMMENDED
75,DST_0105,0.6367647058823529,0.4741779774511437,24,43.42208333333334,UNKNOWN,3656539,7737,DST_0105,43.42208333333334,UNKNOWN,DST_0105,43.42208333333334,UNKNOWN,OTHER,0.2876186660700081,0.5949826765409576,MEDIUM,NOT_RECOMMENDED
76,DST_0188,0.6004901960784313,0.6632379270980094,24,64.43583333333333,RELIABLE,5519145,7428,DST_0188,64.43583333333333,RELIABLE,DST_0188,64.43583333333333,RELIABLE,HIGH_OPPORTUNITY,0.5372231074871209,0.5949092412221733,MEDIUM,NOT_RECOMMENDED
77,DST_0209,0.5279411764705882,0.5945054197349551,24,12.164583333333333,UNKNOWN,2446265,3977,DST_0209,12.164583333333333,UNKNOWN,DST_0209,12.164583333333333,UNKNOWN,OTHER,0.2564166954955819,0.5943670872198826,MEDIUM,NOT_RECOMMENDED
78,DST_0165,0.6308823529411764,0.45943659374713314,24,61.03541666666666,RELIABLE,2035064,2340,DST_0165,61.03541666666666,RELIABLE,DST_0165,61.03541666666666,RELIABLE,OTHER,0.25249620204395007,0.5942006262262359,MEDIUM,NOT_RECOMMENDED
79,DST_0091,0.6583333333333334,0.41731623564583,24,37.92166666666667,UNKNOWN,1245899,1938,DST_0091,37.92166666666667,UNKNOWN,DST_0091,37.92166666666667,UNKNOWN,OTHER,0.2431269411874717,0.5936852942385462,MEDIUM,NOT_RECOMMENDED
80,DST_0183,0.6480392156862744,0.4270655124984056,24,64.93166666666666,RELIABLE,752484,896,DST_0183,64.93166666666666,RELIABLE,DST_0183,64.93166666666666,RELIABLE,OTHER,0.23882808221869295,0.5933249599895268,MEDIUM,NOT_RECOMMENDED
81,DST_0158,0.5259803921568628,0.5851257903408994,24,14.074583333333335,UNKNOWN,1391753,1951,DST_0158,14.074583333333335,UNKNOWN,DST_0158,14.074583333333335,UNKNOWN,OTHER,0.24321445507804892,0.5928423120742933,MEDIUM,NOT_RECOMMENDED
82,DST_0108,0.6485294117647058,0.44623912723495734,24,48.31875,UNKNOWN,2292958,4851,DST_0108,48.31875,UNKNOWN,DST_0108,48.31875,UNKNOWN,OTHER,0.276515441131603,0.5927188416000321,MEDIUM,NOT_RECOMMENDED
83,DST_0249,0.6102941176470589,0.4800305065814989,24,54.76541666666666,UNKNOWN,2038533,2287,DST_0249,54.76541666666666,UNKNOWN,DST_0249,54.76541666666666,UNKNOWN,OTHER,0.2505766977826599,0.5925276906881691,MEDIUM,NOT_RECOMMENDED
84,DST_0179,0.6642156862745098,0.40676164403341514,24,47.51958333333334,UNKNOWN,1217477,1451,DST_0179,47.51958333333334,UNKNOWN,DST_0179,47.51958333333334,UNKNOWN,OTHER,0.25050401902513325,0.591162830430198,MEDIUM,NOT_RECOMMENDED
85,DST_0334,0.5960784313725491,0.49836328503202515,24,37.663333333333334,UNKNOWN,2127789,3310,DST_0334,37.663333333333334,UNKNOWN,DST_0334,37.663333333333334,UNKNOWN,OTHER,0.2583983938327633,0.5909827651123032,MEDIUM,NOT_RECOMMENDED
86,DST_0267,0.6318627450980392,0.4427811015741481,23,53.0825,UNKNOWN,1206516,1319,DST_0267,53.0825,UNKNOWN,DST_0267,53.0825,UNKNOWN,OTHER,0.24938585718580414,0.5894344494079087,MEDIUM,NOT_RECOMMENDED
87,DST_0224,0.6259803921568627,0.4501312609966426,24,57.18541666666667,UNKNOWN,1069261,1334,DST_0224,57.18541666666667,UNKNOWN,DST_0224,57.18541666666667,UNKNOWN,OTHER,0.25263687127352047,0.5887097435647091,MEDIUM,NOT_RECOMMENDED
88,DST_0315,0.5936274509803922,0.4833605549039492,24,58.61083333333334,UNKNOWN,1458875,1636,DST_0315,58.61083333333334,UNKNOWN,DST_0315,58.61083333333334,UNKNOWN,OTHER,0.24001223255890788,0.5883061006457772,MEDIUM,NOT_RECOMMENDED
89,DST_0210,0.5264705882352941,0.5702255705676167,24,17.420416666666668,UNKNOWN,1527462,1970,DST_0210,17.420416666666668,UNKNOWN,DST_0210,17.420416666666668,UNKNOWN,OTHER,0.2438321673241422,0.5877242809397198,MEDIUM,NOT_RECOMMENDED
90,DST_0074,0.6147058823529412,0.4585320813657596,24,43.94166666666666,UNKNOWN,2405890,3103,DST_0074,43.94166666666666,UNKNOWN,DST_0074,43.94166666666666,UNKNOWN,OTHER,0.2585747820445229,0.5853889191279349,MEDIUM,NOT_RECOMMENDED
91,DST_0298,0.6245098039215686,0.45029358659219304,24,36.310833333333335,UNKNOWN,2371061,4585,DST_0298,36.310833333333335,UNKNOWN,DST_0298,36.310833333333335,UNKNOWN,OTHER,0.2698949122731026,0.584653184617353,MEDIUM,NOT_RECOMMENDED
92,DST_0076,0.5161764705882353,0.5726467521672332,24,12.455833333333333,UNKNOWN,1166401,1961,DST_0076,12.455833333333333,UNKNOWN,DST_0076,12.455833333333333,UNKNOWN,OTHER,0.24480966554827038,0.5837438419135834,MEDIUM,NOT_RECOMMENDED
93,DST_0251,0.6122549019607844,0.4515236120136519,24,44.010416666666664,UNKNOWN,2137045,2397,DST_0251,44.010416666666664,UNKNOWN,DST_0251,44.010416666666664,UNKNOWN,OTHER,0.25463655382636,0.5826206593218591,MEDIUM,NOT_RECOMMENDED
94,DST_0161,0.5705882352941176,0.49323550377077435,24,37.35,UNKNOWN,960329,1265,DST_0161,37.35,UNKNOWN,DST_0161,37.35,UNKNOWN,OTHER,0.23862147636861386,0.5816728369284012,MEDIUM,NOT_RECOMMENDED
95,DST_0274,0.5098039215686274,0.5788494307432704,24,17.174583333333334,UNKNOWN,2196000,3140,DST_0274,17.174583333333334,UNKNOWN,DST_0274,17.174583333333334,UNKNOWN,OTHER,0.2566454931097598,0.5806799668440751,MEDIUM,NOT_RECOMMENDED
96,DST_0312,0.5926470588235294,0.4700633785698103,24,41.34875,UNKNOWN,2090922,2375,DST_0312,41.34875,UNKNOWN,DST_0312,41.34875,UNKNOWN,OTHER,0.2538949593669806,0.5804343670966258,MEDIUM,NOT_RECOMMENDED
97,DST_0015,0.6465686274509804,0.4016479636668921,24,54.203333333333326,UNKNOWN,2888445,3766,DST_0015,54.203333333333326,UNKNOWN,DST_0015,54.203333333333326,UNKNOWN,OTHER,0.25550612920902394,0.5804314437945486,MEDIUM,NOT_RECOMMENDED
98,DST_0253,0.638235294117647,0.4072331188914062,24,36.83208333333334,UNKNOWN,1544338,1624,DST_0253,36.83208333333334,UNKNOWN,DST_0253,36.83208333333334,UNKNOWN,OTHER,0.24852113175128246,0.5800332476146769,MEDIUM,NOT_RECOMMENDED
99,DST_0328,0.5181372549019608,0.5774395971877517,24,16.712083333333332,UNKNOWN,3282388,5750,DST_0328,16.712083333333332,UNKNOWN,DST_0328,16.712083333333332,UNKNOWN,OTHER,0.28097606472193776,0.579070410777208,MEDIUM,NOT_RECOMMENDED
100,DST_0018,0.607843137254902,0.43721024320573826,24,52.2175,UNKNOWN,1615069,1653,DST_0018,52.2175,UNKNOWN,DST_0018,52.2175,UNKNOWN,OTHER,0.2423164792342442,0.5780897010398655,MEDIUM,NOT_RECOMMENDED
