WCI_Rank,district_id,Demand_Signal,Mean_Distribution_Gap,Valid_Audit_Cycles,Mean_Panel_Coverage_Pct_x,Coverage_Status_x,Total_Population,Estimated_Total_Retail_Universe,District_Code_x,Mean_Panel_Coverage_Pct_y,Coverage_Status_y,District_Code_y,Mean_Panel_Coverage_Pct,Coverage_Status,Market_Opportunity,Competitive_Intensity,WCI,WCI_Priority,Recommended_Target,District_Name,State_Union_Territory
11,DST_0246,0.8529411764705883,0.9290787536675932,24,69.42958333333333,RELIABLE,3674179,3865,DST_0246,69.42958333333333,RELIABLE,DST_0246,69.42958333333333,RELIABLE,HIGH_OPPORTUNITY,0.36221748596964803,0.8365575960014926,HIGH,RECOMMENDED,Alwar,Rajasthan
12,DST_0154,0.8666666666666667,0.9268485604152441,24,65.09083333333334,RELIABLE,3804556,6132,DST_0154,65.09083333333334,RELIABLE,DST_0154,65.09083333333334,RELIABLE,HIGH_OPPORTUNITY,0.39013689516651573,0.8363696171120323,HIGH,RECOMMENDED,Rajkot,Gujarat
13,DST_0153,0.7828431372549018,0.9305140013474963,24,65.11916666666667,RELIABLE,4165626,6248,DST_0153,65.11916666666667,RELIABLE,DST_0153,65.11916666666667,RELIABLE,HIGH_OPPORTUNITY,0.3863688685624681,0.800685538523836,HIGH,RECOMMENDED,Vadodara,Gujarat
14,DST_0039,0.7343137254901961,0.9306873269103043,24,72.03666666666668,RELIABLE,4779661,5496,DST_0039,72.03666666666668,RELIABLE,DST_0039,72.03666666666668,RELIABLE,HIGH_OPPORTUNITY,0.37894285343982115,0.7803931702012306,HIGH,RECOMMENDED,Belagavi,Karnataka
15,DST_0241,0.9686274509803923,0.6674860923701722,24,68.01291666666667,RELIABLE,1951014,3199,DST_0241,68.01291666666667,RELIABLE,DST_0241,68.01291666666667,RELIABLE,HIGH_OPPORTUNITY,0.4673483517881132,0.7760328149131142,HIGH,RECOMMENDED,Kota,Rajasthan
16,DST_0213,0.9524509803921569,0.6580435345118696,24,68.73666666666666,RELIABLE,1005711,1241,DST_0213,68.73666666666666,RELIABLE,DST_0213,68.73666666666666,RELIABLE,HIGH_OPPORTUNITY,0.4340693306082664,0.7721043121339717,HIGH,RECOMMENDED,Karimnagar,Telangana
17,DST_0272,0.9583333333333333,0.6677405949217836,24,65.16625,RELIABLE,2218000,3948,DST_0272,65.16625,RELIABLE,DST_0272,65.16625,RELIABLE,HIGH_OPPORTUNITY,0.4743036432824832,0.7700984795661276,HIGH,RECOMMENDED,Vijayawada,Andhra Pradesh
18,DST_0273,0.9549019607843138,0.6561216686728497,24,73.24041666666666,RELIABLE,2091000,3575,DST_0273,73.24041666666666,RELIABLE,DST_0273,73.24041666666666,RELIABLE,HIGH_OPPORTUNITY,0.4771732607111037,0.7639138142462178,HIGH,RECOMMENDED,Guntur,Andhra Pradesh
19,DST_0038,0.928921568627451,0.6837774362705891,24,72.08708333333333,RELIABLE,3001127,4123,DST_0038,72.08708333333333,RELIABLE,DST_0038,72.08708333333333,RELIABLE,HIGH_OPPORTUNITY,0.4861374395062832,0.7601093206758025,HIGH,RECOMMENDED,Mysuru,Karnataka
20,DST_0299,0.9220588235294118,0.6726655671944985,23,60.99208333333333,RELIABLE,2463289,3970,DST_0299,60.99208333333333,RELIABLE,DST_0299,60.99208333333333,RELIABLE,HIGH_OPPORTUNITY,0.47475673115631095,0.7554080728750476,HIGH,RECOMMENDED,Jabalpur,Madhya Pradesh
21,DST_0243,0.9333333333333333,0.6567107760844606,24,70.20833333333333,RELIABLE,2583052,3512,DST_0243,70.20833333333333,RELIABLE,DST_0243,70.20833333333333,RELIABLE,HIGH_OPPORTUNITY,0.47389453645456914,0.7550698643386474,HIGH,RECOMMENDED,Ajmer,Rajasthan
22,DST_0297,0.9299019607843138,0.6681036413719633,24,68.48875,RELIABLE,3276697,6016,DST_0297,68.48875,RELIABLE,DST_0297,68.48875,RELIABLE,HIGH_OPPORTUNITY,0.5055777677033024,0.7511766032924678,HIGH,RECOMMENDED,Indore,Madhya Pradesh
23,DST_0330,0.9303921568627451,0.662416708031781,24,76.81916666666667,RELIABLE,3121200,5424,DST_0330,76.81916666666667,RELIABLE,DST_0330,76.81916666666667,RELIABLE,HIGH_OPPORTUNITY,0.49875534887067785,0.7507712486252232,HIGH,RECOMMENDED,Thrissur,Kerala
24,DST_0066,0.8941176470588235,0.671181879611095,23,75.52333333333333,RELIABLE,3458045,6445,DST_0066,75.52333333333333,RELIABLE,DST_0066,75.52333333333333,RELIABLE,HIGH_OPPORTUNITY,0.5145353624900609,0.7343595265423417,HIGH,RECOMMENDED,Coimbatore,Tamil Nadu
25,DST_0116,0.8794117647058823,0.6603856859486427,24,77.50333333333333,RELIABLE,3443689,5213,DST_0116,77.50333333333333,RELIABLE,DST_0116,77.50333333333333,RELIABLE,HIGH_OPPORTUNITY,0.5037010999914913,0.7261300642013738,HIGH,RECOMMENDED,Meerut,Uttar Pradesh
26,DST_0113,0.8588235294117648,0.6597263801488291,24,70.00208333333333,RELIABLE,3676841,5154,DST_0113,70.00208333333333,RELIABLE,DST_0113,70.00208333333333,RELIABLE,HIGH_OPPORTUNITY,0.49933366110157085,0.7175080890670702,HIGH,RECOMMENDED,Varanasi,Uttar Pradesh
27,DST_0313,0.8848039215686274,0.464044310413648,23,41.915416666666665,UNKNOWN,1241519,1427,DST_0313,41.915416666666665,UNKNOWN,DST_0313,41.915416666666665,UNKNOWN,OTHER,0.2430611598435152,0.711965041381956,HIGH,NOT_RECOMMENDED,Guna,Madhya Pradesh
28,DST_0009,0.8117647058823529,0.6726206181500823,23,68.17625,RELIABLE,3876001,4837,DST_0009,68.17625,RELIABLE,DST_0009,68.17625,RELIABLE,HIGH_OPPORTUNITY,0.4935327412432442,0.7020047857509388,HIGH,RECOMMENDED,Kolhapur,Maharashtra
