district_name,category_velocity,months,avg_monthly_velocity,engagement_clicks,event_count,demand_signal_score
amravati,97299,24,4054.125,4503248,1451,13.32
madurai,93859,24,3910.7916666666665,4503232,1520,13.14
sambhal,90591,24,3774.625,4502087,1137,12.97
kollam,89327,24,3721.9583333333335,4502705,1381,12.91
darjeeling,88117,24,3671.5416666666665,4501648,890,12.85
beed,87991,24,3666.2916666666665,4502691,1256,12.84
dindigul,87304,24,3637.6666666666665,4502775,1028,12.81
moradabad,85176,24,3549.0,4503587,1825,12.7
ahmednagar,82964,24,3456.8333333333335,4503885,1981,12.59
deoria,82618,24,3442.4166666666665,4502702,1378,12.57
shivamogga,81370,24,3390.4166666666665,4501646,879,12.5
surendranagar,80965,24,3373.5416666666665,4502546,1031,12.48
krishna,80592,24,3358.0,4501776,858,12.46
jodhpur,80479,24,3353.2916666666665,4503362,1595,12.46
lakhimpur kheri,79946,24,3331.0833333333335,4503699,1639,12.43
ghazipur,79719,24,3321.625,4503487,1703,12.42
tumakuru,79171,24,3298.7916666666665,4502186,1241,12.39
pali,79015,24,3292.2916666666665,4501884,943,12.38
bhilwara,78027,24,3251.125,4502209,1166,12.33
mumbai suburban,240188,24,10007.833333333334,4491,2353,12.32
namakkal,77722,24,3238.4166666666665,4501738,856,12.31
rampur,77596,24,3233.1666666666665,4502389,1221,12.31
nagaur,77269,24,3219.5416666666665,4503538,1742,12.29
south 24 parganas,77097,24,3212.375,4505165,2320,12.29
shahjahanpur,76226,24,3176.0833333333335,4502828,1535,12.24
srikakulam,75719,24,3154.9583333333335,4502435,1236,12.21
vellore,75514,24,3146.4166666666665,4501953,910,12.2
hyderabad,236921,24,9871.708333333334,4972,2336,12.15
bagalkote,72360,24,3015.0,4502061,920,12.04
sitapur,71988,24,2999.5,4504108,1865,12.02
ballari,71269,24,2969.5416666666665,4502826,1324,11.98
prakasam,70559,24,2939.9583333333335,4501792,1079,11.95
bengaluru,231592,24,9649.666666666666,4339,2126,11.87
mandya,68602,24,2858.4166666666665,4502380,1056,11.85
mathura,68325,24,2846.875,4502275,1138,11.83
amreli,67272,24,2803.0,4501756,767,11.78
vijayapura,64471,24,2686.2916666666665,4502325,1104,11.63
hanumangarh,63866,24,2661.0833333333335,4501754,903,11.6
fatehpur,63467,24,2644.4583333333335,4503236,1230,11.59
prayagraj,60273,24,2511.375,4504165,1699,11.42
annamayya,60335,24,2513.9583333333335,4501778,922,11.42
west godavari,60174,24,2507.25,4501700,925,11.41
parbhani,59684,24,2486.8333333333335,4502609,996,11.39
davanagere,59123,24,2463.4583333333335,4502022,975,11.36
vidisha,57481,24,2395.0416666666665,4501863,834,11.28
thiruvananthapuram,55628,24,2317.8333333333335,4502514,1061,11.18
hassan,53436,24,2226.5,4501659,897,11.07
mirzapur,52722,24,2196.75,4502671,1249,11.03
gir somnath,52251,24,2177.125,4501308,653,11.01
dr. b.r. ambedkar konaseema,51256,24,2135.6666666666665,4501377,860,10.96
amroha,50462,24,2102.5833333333335,4502113,860,10.92
tonk,50560,24,2106.6666666666665,4501847,849,10.92
katni,50435,24,2101.4583333333335,4501351,625,10.91
chittorgarh,49077,24,2044.875,4502167,839,10.85
valsad,48630,24,2026.25,4501663,963,10.82
damoh,48446,24,2018.5833333333333,4501376,588,10.81
devbhumi dwarka,45851,24,1910.4583333333333,4501002,392,10.68
wardha,45262,24,1885.9166666666667,4501708,665,10.65
anakapalli,44030,24,1834.5833333333333,4501806,857,10.59
gadag,37727,24,1571.9583333333333,4501296,521,10.26
pudukkottai,37324,24,1555.1666666666667,4501513,804,10.24
sirohi,32329,24,1347.0416666666667,4500726,490,9.98
porbandar,29377,24,1224.0416666666667,4500497,257,9.83
baran,27799,24,1158.2916666666667,4501530,626,9.75
aurangabad (mh),16455,24,685.625,4500741,283,9.17
thiruvananthapuram dist,11913,24,496.375,4500350,195,8.94
sri potti sriramulu nellore,10137,24,422.375,4500435,195,8.85
birbhum,10081,24,420.0416666666667,4500553,380,8.84
kallakurichi,5544,24,231.0,4501461,775,8.61
panna,5148,24,214.5,4500302,98,8.59
seoni,3798,24,158.25,4501138,648,8.52
singrauli,3093,24,128.875,4500953,557,8.49
hingoli,2915,24,121.45833333333333,4501087,566,8.48
gadchiroli,2640,24,110.0,4501754,627,8.46
suryapet,2463,24,102.625,4500909,477,8.45
nagarkurnool,1780,24,74.16666666666667,4500909,384,8.42
aravalli,1757,24,73.20833333333333,4500921,569,8.42
medak,1809,24,75.375,4501020,379,8.42
jhargram,1561,24,65.04166666666667,4500992,520,8.41
tapi,802,24,33.416666666666664,4501109,486,8.37
howrah,656,24,27.333333333333332,4504007,1987,8.37
chengalpattu urban,200,21,9.523809523809524,4500485,214,8.34
chengalpet,157,22,7.136363636363637,4500504,206,8.34
kancheepuram,206,23,8.956521739130435,4500593,264,8.34
nashik,145366,24,6056.916666666667,5022,2354,7.46
bhopal,134649,24,5610.375,2412,1078,6.9
dharwad,129195,24,5383.125,3016,1348,6.62
bhavnagar,127622,24,5317.583333333333,2649,1296,6.54
kozhikode,125521,24,5230.041666666667,3713,1808,6.44
virudhunagar,121614,24,5067.25,2031,1014,6.23
belagavi,111474,24,4644.75,3913,1848,5.72
erode,108416,24,4517.333333333333,2884,1149,5.56
ghaziabad,107211,24,4467.125,4084,1995,5.5
nanded,103927,24,4330.291666666667,3689,1579,5.33
visakhapatnam,102956,24,4289.833333333333,2862,1461,5.28
eluru,102002,24,4250.083333333333,1719,853,5.23
shahdara,102066,24,4252.75,1625,822,5.23
north delhi,100078,24,4169.916666666667,779,453,5.13
nandyal,99743,24,4155.958333333333,1611,817,5.11
purba bardhaman,99284,24,4136.833333333333,4133,1987,5.09
west delhi,98629,24,4109.541666666667,2977,1366,5.06
muzaffarnagar,96614,24,4025.5833333333335,3986,1925,4.95
kanpur nagar,95389,24,3974.5416666666665,3707,1998,4.89
south east delhi,92176,24,3840.6666666666665,2257,1106,4.72
jaunpur,90862,24,3785.9166666666665,3947,1957,4.66
jalna,90781,24,3782.5416666666665,1910,1066,4.65
gwalior,89302,24,3720.9166666666665,3007,1250,4.58
tirunelveli,88673,24,3694.7083333333335,1587,805,4.54
kottayam,88334,24,3680.5833333333335,1834,964,4.53
panchmahal,87286,24,3636.9166666666665,2292,1181,4.47
malda,85703,24,3570.9583333333335,3926,1820,4.39
dhar,85472,24,3561.3333333333335,2555,1301,4.38
jhansi,84365,24,3515.2083333333335,2305,1101,4.32
junagadh,83383,24,3474.2916666666665,2895,1169,4.27
ntr district,83322,24,3471.75,386,243,4.27
bezawada,82890,24,3453.75,789,263,4.24
bhind,81518,24,3396.5833333333335,3146,1281,4.18
morena,81366,24,3390.25,2746,1336,4.17
sri sathya sai,79491,24,3312.125,1672,904,4.07
raigad,79079,24,3294.9583333333335,3243,1321,4.05
anantapur,78930,24,3288.75,2367,1060,4.04
yavatmal,78315,24,3263.125,2354,1265,4.01
sabarkantha,77795,24,3241.4583333333335,2749,1281,3.99
kakinada,77693,24,3237.2083333333335,2106,942,3.98
vijayawada urban,75705,24,3154.375,578,248,3.88
gonda,74683,24,3111.7916666666665,3226,1518,3.83
aligarh,73970,24,3082.0833333333335,3319,1814,3.79
uttar dinajpur,72560,24,3023.3333333333335,3173,1536,3.72
unnao,72594,24,3024.75,3010,1430,3.72
raichur,72546,24,3022.75,2203,1003,3.72
satna,72516,24,3021.5,1910,995,3.71
kurnool,71040,24,2960.0,2456,1237,3.64
sangli,70144,24,2922.6666666666665,2385,1270,3.59
bankura,69762,24,2906.75,3194,1579,3.58
bikaner,69630,24,2901.25,2731,1130,3.57
villupuram,68965,24,2873.5416666666665,2278,1105,3.53
ramanathapuram,68830,24,2867.9166666666665,1725,633,3.53
jalgaon,68677,24,2861.5416666666665,4103,1856,3.52
palnadu,68643,24,2860.125,2046,1055,3.52
barabanki,68387,24,2849.4583333333335,3391,1566,3.51
ballia,68242,24,2843.4166666666665,3374,1465,3.5
ayodhya,65455,24,2727.2916666666665,3146,1326,3.36
chittoor,65623,24,2734.2916666666665,1968,902,3.36
narmadapuram,65245,24,2718.5416666666665,1000,514,3.34
betul,61969,24,2582.0416666666665,1845,845,3.17
rewa,61626,24,2567.75,2319,1101,3.16
bharuch,60588,24,2524.5,1556,753,3.1
dakshin dinajpur,60237,24,2509.875,1449,771,3.08
ratnagiri,60077,24,2503.2083333333335,2104,819,3.08
vizianagaram,59286,24,2470.25,2215,1055,3.04
nilgiris,59161,24,2465.0416666666665,753,378,3.03
patan,59162,24,2465.0833333333335,1251,666,3.03
khammam,58122,24,2421.75,1143,648,2.98
tiruvannamalai,58117,24,2421.5416666666665,2872,1315,2.98
banswara,57381,24,2390.875,1815,940,2.94
nalgonda,56606,24,2358.5833333333335,1916,859,2.9
nandurbar,55381,24,2307.5416666666665,1538,814,2.84
navsari,55240,24,2301.6666666666665,1751,694,2.83
kutch,54751,24,2281.2916666666665,1710,996,2.8
ranipet,54462,24,2269.25,1274,627,2.79
tirupathur,54418,24,2267.4166666666665,898,505,2.79
sawai madhopur,54347,24,2264.4583333333335,1164,731,2.78
kadapa,54311,24,2262.9583333333335,1255,711,2.78
kolar,53915,24,2246.4583333333335,1983,877,2.76
nellore,53439,24,2226.625,1663,775,2.74
haveri,52500,24,2187.5,1793,891,2.69
uttara kannada,51671,24,2152.9583333333335,1551,752,2.65
ratlam,51042,24,2126.75,1697,814,2.61
tenkasi,50725,24,2113.5416666666665,1552,696,2.6
bidar,50721,24,2113.375,1905,888,2.6
basti,49186,24,2049.4166666666665,2576,1295,2.52
dhule,48599,24,2024.9583333333333,2205,1071,2.49
bhadradri kothagudem,47720,24,1988.3333333333333,1158,614,2.44
jalore,47180,24,1965.8333333333333,1627,904,2.42
khandwa,46896,24,1954.0,1513,643,2.4
chitradurga,44859,24,1869.125,1808,769,2.3
dholpur,44648,24,1860.3333333333333,1469,613,2.29
durgapur-asansol,44468,24,1852.8333333333333,536,250,2.27
mandsaur,43696,24,1820.6666666666667,1241,629,2.24
bapatla,43553,24,1814.7083333333333,1643,777,2.23
nizamabad,41918,24,1746.5833333333333,1393,777,2.15
chikkamagaluru,41821,24,1742.5416666666667,1176,543,2.14
dharashiv,41114,24,1713.0833333333333,1444,583,2.1
kasaragod,40334,24,1680.5833333333333,1459,669,2.06
bengaluru rural,39738,24,1655.75,1202,555,2.03
karur,38460,24,1602.5,1241,532,1.97
mancherial,35527,24,1480.2916666666667,810,417,1.82
dausa,32946,24,1372.75,1527,853,1.69
paschim bardhaman (durgapur),32636,24,1359.8333333333333,510,238,1.67
peddapalli,32033,24,1334.7083333333333,999,374,1.64
tiruvarur,30502,24,1270.9166666666667,1030,619,1.56
udupi,30564,24,1273.5,895,529,1.56
neemuch,30147,24,1256.125,836,403,1.54
morbi,29155,24,1214.7916666666667,1158,543,1.49
ramanagara,28278,24,1178.25,1122,493,1.45
jagtial,26182,24,1090.9166666666667,1538,477,1.34
bundi,25036,24,1043.1666666666667,1046,528,1.28
hubli-dharwad,24920,24,1038.3333333333333,488,238,1.27
botad,24146,24,1006.0833333333334,684,265,1.23
datia,22768,24,948.6666666666666,591,323,1.16
dharwad dist,21346,24,889.4166666666666,404,234,1.09
osmanabad,20056,24,835.6666666666666,486,187,1.02
nirmal,19824,24,826.0,745,330,1.01
trivandrum,19615,24,817.2916666666666,856,365,1.0
burdwan west,18808,24,783.6666666666666,555,283,0.96
hubballi-dharwad,18723,24,780.125,403,238,0.95
calicut city & rural,18065,24,752.7083333333334,560,248,0.92
bangalore (urban),18006,24,750.25,267,209,0.92
aurangabad,17115,24,713.125,689,283,0.87
sambhajinagar,16937,24,705.7083333333334,566,276,0.86
calicut,16924,24,705.1666666666666,530,298,0.86
belgaum,15622,24,650.9166666666666,512,262,0.8
vishakhapatnam,14936,24,622.3333333333334,426,203,0.76
belgaum dist,14972,24,623.8333333333334,487,237,0.76
visakhapatnam dist,14787,24,616.125,442,201,0.75
spsr nellore,14576,24,607.3333333333334,373,208,0.74
vizag urban,14419,24,600.7916666666666,516,204,0.73
vizag,13197,24,549.875,422,221,0.67
east godavari,12949,24,539.5416666666666,191,142,0.66
new delhi,12283,24,511.7916666666667,84,75,0.62
barmer,11828,24,492.8333333333333,666,327,0.6
rajamahendravaram,11827,24,492.7916666666667,586,158,0.6
rajanna sircilla,11497,24,479.0416666666667,587,270,0.58
buldhana,11203,24,466.7916666666667,453,261,0.57
hardoi,11059,24,460.7916666666667,899,422,0.56
allahabad,10922,24,455.0833333333333,665,286,0.55
dahod,10466,24,436.0833333333333,418,195,0.53
budaun,10392,24,433.0,924,393,0.53
purulia,9671,24,402.9583333333333,595,287,0.49
cuddapah,9350,24,389.5833333333333,296,122,0.47
hoshangabad,8892,24,370.5,119,70,0.45
ysr kadapa,8526,24,355.25,171,104,0.43
allahabad (prayagraj),8441,24,351.7083333333333,371,264,0.43
y.s.r.,8505,24,354.375,250,125,0.43
mahabubnagar,6788,24,282.8333333333333,174,156,0.34
dharashiv (osmanabad),6803,24,283.4583333333333,205,80,0.34
hoshangabad dist,6179,24,257.4583333333333,171,73,0.31
dharmapuri,6139,24,255.79166666666666,339,134,0.31
sehore,6184,24,257.6666666666667,1176,685,0.31
yadgir,6035,24,251.45833333333334,288,114,0.3
washim,4521,24,188.375,1692,626,0.23
kamareddy,4591,24,191.29166666666666,961,537,0.23
alipurduar,4338,24,180.75,1707,748,0.22
chamarajanagar,4274,24,178.08333333333334,205,98,0.21
dungarpur,4138,24,172.41666666666666,1427,633,0.21
parvathipuram manyam,3949,24,164.54166666666666,835,491,0.2
kalimpong,3806,24,158.58333333333334,211,126,0.19
karauli,3801,24,158.375,1300,568,0.19
alluri sitharama raju,3554,24,148.08333333333334,221,105,0.18
koppal,3488,24,145.33333333333334,1560,747,0.18
pathanamthitta,3435,24,143.125,1148,595,0.17
ernakulam,2685,24,111.875,4829,2224,0.14
wayanad,2561,24,106.70833333333333,134,76,0.13
mahisagar,2712,24,113.0,1152,563,0.13
kodagu,2686,24,111.91666666666667,451,277,0.13
sindhudurg,2398,24,99.91666666666667,869,392,0.12
chhota udaipur,2503,24,104.29166666666667,1111,460,0.12
gondia,2463,24,102.625,1615,687,0.12
siddipet,2199,24,91.625,852,482,0.11
wanaparthy,1846,24,76.91666666666667,469,295,0.09
bhandara,1857,24,77.375,1196,625,0.09
dewas,1630,24,67.91666666666667,2568,1466,0.08
jangaon,1665,24,69.375,951,340,0.08
jaisalmer,1632,24,68.0,678,379,0.08
kumuram bheem asifabad,1662,24,69.25,639,211,0.08
narayanpet,1500,24,62.5,389,322,0.07
yadadri bhuvanagiri,1496,24,62.333333333333336,907,394,0.07
gautam buddha nagar,1146,24,47.75,2871,1515,0.06
jogulamba gadwal,1308,24,54.5,406,254,0.06
palghar,890,24,37.083333333333336,4781,2171,0.05
tiruppur,935,24,38.958333333333336,3970,2006,0.05
sangareddy,928,24,38.666666666666664,2395,1346,0.05
mulugu,964,24,40.166666666666664,278,131,0.04
mahabubabad,884,24,36.833333333333336,788,373,0.04
narmada,864,24,36.0,718,339,0.04
tirupati,749,24,31.208333333333332,3757,1674,0.04
jayashankar bhupalpally,835,24,34.791666666666664,284,168,0.04
perambalur,755,24,31.458333333333332,638,312,0.03
pratapgarh,740,24,30.833333333333332,803,446,0.03
kanchipuram,648,24,27.0,1193,622,0.03
dang,671,24,27.958333333333332,199,74,0.03
tirupathi,97,19,5.105263157894737,494,271,0.0
haora,122,21,5.809523809523809,1065,356,0.0
