district_id,numeric_id,district_name,state,population,urban_share,true_archetype,is_historical_marketing_failure_district,total_retail_universe,panel_sampled_outlets,true_panel_coverage_pct,analytical_ground_truth_description,optimal_strategic_action
DST_0031,31,Gadchiroli,Maharashtra,1072942,0.11,RURAL_LOW_DEMAND,False,1023,3,25.3,"RURAL LOW DEMAND: Low population, low income, low category consumption.",SELECTIVE_HIGHWAY_OUTLETS_ONLY
DST_0032,32,Nandurbar,Maharashtra,1648295,0.17,DEVELOPING_URBAN,False,1710,12,56.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0033,33,Beed,Maharashtra,2585049,0.2,DEVELOPING_URBAN,False,2791,17,51.1,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0034,34,Dharashiv,Maharashtra,1657576,0.17,DEVELOPING_URBAN,False,1720,14,64.2,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0035,35,Parbhani,Maharashtra,1836086,0.31,DEVELOPING_URBAN,False,2265,13,46.4,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0036,36,Bengaluru Urban,Karnataka,9621551,0.91,CORE_METRO,False,18500,17,84.9,"CORE METRO: High volume anchor market, high category and steady Kestrel share.",MAINTAIN_MATURE_PRESENCE
DST_0037,37,Bengaluru Rural,Karnataka,990923,0.27,DEVELOPING_URBAN,False,1167,9,59.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0038,38,Mysuru,Karnataka,3001127,0.41,TYPE_D,False,4123,17,72.4,"COMPETITIVE LOCKOUT (HARD MOAT): Strong category demand, reasonable Kestrel dist, but 2 rivals hold >85% share with exclusive chillers.",HIGH_COST_BARRIER_ACQUIRE_CHILLER_CONTRACTS
DST_0039,39,Belagavi,Karnataka,4779661,0.25,TYPE_A,False,5496,17,72.2,"REAL WHITESPACE (WINNER): High category velocity, strong audience buzz, low Kestrel distribution (2-8%). Prime expansion target.",EXPAND_DISTRIBUTION_IMMEDIATELY
DST_0040,40,Dharwad,Karnataka,1847023,0.57,TYPE_A,False,2951,17,66.5,"REAL WHITESPACE (WINNER): High category velocity, strong audience buzz, low Kestrel distribution (2-8%). Prime expansion target.",EXPAND_DISTRIBUTION_IMMEDIATELY
DST_0041,41,Dakshina Kannada,Karnataka,2089649,0.48,TYPE_C,False,3075,1,15.0,"PANEL BLINDNESS (MEASUREMENT ILLUSION): Healthy true sales, but panel coverage <20%. Not a whitespace, already active.",FIX_PANEL_MEASUREMENT_DO_NOT_MISCLASSIFY
DST_0042,42,Udupi,Karnataka,1177361,0.28,DEVELOPING_URBAN,False,1403,6,36.4,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0043,43,Shivamogga,Karnataka,1752759,0.36,DEVELOPING_URBAN,False,2285,12,41.8,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0044,44,Tumakuru,Karnataka,2678980,0.22,DEVELOPING_URBAN,False,2968,16,43.7,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0045,45,Ballari,Karnataka,2452595,0.37,DEVELOPING_URBAN,False,3232,15,37.4,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0046,46,Kalaburagi,Karnataka,2566326,0.33,DEVELOPING_URBAN,False,3238,17,42.0,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0047,47,Davanagere,Karnataka,1945497,0.32,DEVELOPING_URBAN,False,2427,12,38.0,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0048,48,Hassan,Karnataka,1776421,0.21,DEVELOPING_URBAN,False,1943,11,43.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0049,49,Mandya,Karnataka,1805769,0.17,DEVELOPING_URBAN,False,1874,13,54.1,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0050,50,Vijayapura,Karnataka,2177331,0.23,DEVELOPING_URBAN,False,2442,14,45.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0051,51,Bagalkote,Karnataka,1889552,0.32,DEVELOPING_URBAN,False,2358,14,46.1,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0052,52,Bidar,Karnataka,1700018,0.25,DEVELOPING_URBAN,False,1955,10,41.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0053,53,Chitradurga,Karnataka,1659456,0.2,DEVELOPING_URBAN,False,1792,10,43.0,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0054,54,Chikkamagaluru,Karnataka,1137961,0.21,DEVELOPING_URBAN,False,1244,10,63.1,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0055,55,Kodagu,Karnataka,554519,0.15,RURAL_LOW_DEMAND,False,560,2,23.1,"RURAL LOW DEMAND: Low population, low income, low category consumption.",SELECTIVE_HIGHWAY_OUTLETS_ONLY
DST_0056,56,Kolar,Karnataka,1536401,0.31,DEVELOPING_URBAN,False,1895,13,53.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0057,57,Koppal,Karnataka,1389920,0.17,RURAL_LOW_DEMAND,False,1442,3,16.4,"RURAL LOW DEMAND: Low population, low income, low category consumption.",SELECTIVE_HIGHWAY_OUTLETS_ONLY
DST_0058,58,Raichur,Karnataka,1928812,0.25,DEVELOPING_URBAN,False,2218,16,56.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0059,59,Ramanagara,Karnataka,1082636,0.25,DEVELOPING_URBAN,False,1245,6,39.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0060,60,Uttara Kannada,Karnataka,1437169,0.29,DEVELOPING_URBAN,False,1733,10,46.4,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0061,61,Yadgir,Karnataka,1174271,0.19,TYPE_B,False,1251,10,64.7,"DISTRIBUTION FAILURE (TRAP): High Kestrel listing, but zero category demand. Marketing will NOT fix this.",AVOID_DO_NOT_INVEST_MARKETING
DST_0062,62,Chamarajanagar,Karnataka,1020791,0.17,TYPE_B,False,1059,7,56.0,"DISTRIBUTION FAILURE (TRAP): High Kestrel listing, but zero category demand. Marketing will NOT fix this.",AVOID_DO_NOT_INVEST_MARKETING
DST_0063,63,Gadag,Karnataka,1064570,0.36,DEVELOPING_URBAN,False,1388,9,51.7,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0064,64,Haveri,Karnataka,1597668,0.21,DEVELOPING_URBAN,False,1747,12,55.5,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0065,65,Chennai,Tamil Nadu,7088403,1.0,CORE_METRO,False,15594,17,86.9,"CORE METRO: High volume anchor market, high category and steady Kestrel share.",MAINTAIN_MATURE_PRESENCE
DST_0066,66,Coimbatore,Tamil Nadu,3458045,0.76,TYPE_D,False,6445,17,75.5,"COMPETITIVE LOCKOUT (HARD MOAT): Strong category demand, reasonable Kestrel dist, but 2 rivals hold >85% share with exclusive chillers.",HIGH_COST_BARRIER_ACQUIRE_CHILLER_CONTRACTS
DST_0067,67,Madurai,Tamil Nadu,3038252,0.61,MATURE_URBAN,False,5025,17,41.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0068,68,Tiruchirappalli,Tamil Nadu,2722290,0.49,TYPE_A,False,4045,17,55.6,"REAL WHITESPACE (WINNER): High category velocity, strong audience buzz, low Kestrel distribution (2-8%). Prime expansion target.",EXPAND_DISTRIBUTION_IMMEDIATELY
DST_0069,69,Salem,Tamil Nadu,3482056,0.51,TYPE_A,False,5271,17,61.3,"REAL WHITESPACE (WINNER): High category velocity, strong audience buzz, low Kestrel distribution (2-8%). Prime expansion target.",EXPAND_DISTRIBUTION_IMMEDIATELY
DST_0070,70,Tirunelveli,Tamil Nadu,1665253,0.49,DEVELOPING_URBAN,False,2474,14,43.0,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0071,71,Tiruppur,Tamil Nadu,2479052,0.61,TYPE_C,False,4100,1,10.1,"PANEL BLINDNESS (MEASUREMENT ILLUSION): Healthy true sales, but panel coverage <20%. Not a whitespace, already active.",FIX_PANEL_MEASUREMENT_DO_NOT_MISCLASSIFY
DST_0072,72,Erode,Tamil Nadu,2251744,0.51,DEVELOPING_URBAN,False,3409,17,63.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0073,73,Vellore,Tamil Nadu,1614242,0.43,DEVELOPING_URBAN,False,2263,17,61.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0074,74,Thanjavur,Tamil Nadu,2405890,0.35,DEVELOPING_URBAN,False,3103,17,44.4,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0075,75,Dindigul,Tamil Nadu,2159775,0.37,DEVELOPING_URBAN,False,2846,17,54.7,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0076,76,Kanchipuram,Tamil Nadu,1166401,0.63,TYPE_C,False,1961,1,12.0,"PANEL BLINDNESS (MEASUREMENT ILLUSION): Healthy true sales, but panel coverage <20%. Not a whitespace, already active.",FIX_PANEL_MEASUREMENT_DO_NOT_MISCLASSIFY
DST_0077,77,Chengalpattu,Tamil Nadu,2556244,0.68,TYPE_C,False,4478,1,17.1,"PANEL BLINDNESS (MEASUREMENT ILLUSION): Healthy true sales, but panel coverage <20%. Not a whitespace, already active.",FIX_PANEL_MEASUREMENT_DO_NOT_MISCLASSIFY
DST_0078,78,Cuddalore,Tamil Nadu,2605914,0.34,DEVELOPING_URBAN,False,3325,17,48.8,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0079,79,Dharmapuri,Tamil Nadu,1506843,0.17,TYPE_B,False,1564,9,46.6,"DISTRIBUTION FAILURE (TRAP): High Kestrel listing, but zero category demand. Marketing will NOT fix this.",AVOID_DO_NOT_INVEST_MARKETING
DST_0080,80,Karur,Tamil Nadu,1064493,0.41,DEVELOPING_URBAN,False,1462,8,42.4,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0081,81,Krishnagiri,Tamil Nadu,1879809,0.23,DEVELOPING_URBAN,False,2109,14,51.8,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0082,82,Nagapattinam,Tamil Nadu,1616450,0.23,DEVELOPING_URBAN,False,1813,10,42.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0083,83,Namakkal,Tamil Nadu,1726601,0.4,DEVELOPING_URBAN,False,2348,16,52.5,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0084,84,Nilgiris,Tamil Nadu,735394,0.59,DEVELOPING_URBAN,False,1195,9,61.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0085,85,Perambalur,Tamil Nadu,565223,0.17,RURAL_LOW_DEMAND,False,586,1,19.6,"RURAL LOW DEMAND: Low population, low income, low category consumption.",SELECTIVE_HIGHWAY_OUTLETS_ONLY
DST_0086,86,Pudukkottai,Tamil Nadu,1618345,0.2,DEVELOPING_URBAN,False,1747,9,41.6,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0087,87,Ramanathapuram,Tamil Nadu,1353445,0.3,DEVELOPING_URBAN,False,1651,14,64.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0088,88,Ranipet,Tamil Nadu,1210277,0.42,DEVELOPING_URBAN,False,1679,11,50.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0089,89,Sivaganga,Tamil Nadu,1339101,0.31,DEVELOPING_URBAN,False,1652,8,37.7,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0090,90,Tenkasi,Tamil Nadu,1407627,0.43,DEVELOPING_URBAN,False,1973,9,36.4,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0091,91,Theni,Tamil Nadu,1245899,0.54,DEVELOPING_URBAN,False,1938,9,38.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0092,92,Thoothukudi,Tamil Nadu,1750176,0.5,DEVELOPING_URBAN,False,2625,17,53.8,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0093,93,Tirupathur,Tamil Nadu,1111812,0.38,DEVELOPING_URBAN,False,1480,11,58.8,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0094,94,Tiruvallur,Tamil Nadu,3728104,0.65,MATURE_URBAN,False,6375,17,47.7,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0095,95,Tiruvannamalai,Tamil Nadu,2464875,0.2,DEVELOPING_URBAN,False,2662,13,36.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0096,96,Tiruvarur,Tamil Nadu,1264277,0.2,DEVELOPING_URBAN,False,1365,8,46.4,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0097,97,Villupuram,Tamil Nadu,2093003,0.15,DEVELOPING_URBAN,False,2113,17,64.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0098,98,Virudhunagar,Tamil Nadu,1942288,0.51,DEVELOPING_URBAN,False,2940,17,50.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0099,99,Kallakurichi,Tamil Nadu,1370281,0.13,RURAL_LOW_DEMAND,False,1345,5,27.6,"RURAL LOW DEMAND: Low population, low income, low category consumption.",SELECTIVE_HIGHWAY_OUTLETS_ONLY
DST_0100,100,Central Delhi,Delhi NCR,582320,1.0,CORE_METRO,False,1281,14,87.0,"CORE METRO: High volume anchor market, high category and steady Kestrel share.",MAINTAIN_MATURE_PRESENCE
DST_0101,101,East Delhi,Delhi NCR,1709346,1.0,DEVELOPING_URBAN,False,3760,17,35.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0102,102,New Delhi,Delhi NCR,142004,1.0,DEVELOPING_URBAN,False,312,2,56.6,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0103,103,North Delhi,Delhi NCR,887978,1.0,DEVELOPING_URBAN,False,1953,14,55.5,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0104,104,North East Delhi,Delhi NCR,2241624,1.0,DEVELOPING_URBAN,False,4931,17,51.1,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0105,105,North West Delhi,Delhi NCR,3656539,0.94,MATURE_URBAN,False,7737,17,43.0,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0106,106,South Delhi,Delhi NCR,2731929,0.99,CORE_METRO,False,5971,17,85.5,"CORE METRO: High volume anchor market, high category and steady Kestrel share.",MAINTAIN_MATURE_PRESENCE
DST_0107,107,South East Delhi,Delhi NCR,2150000,1.0,DEVELOPING_URBAN,False,4730,17,38.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0108,108,South West Delhi,Delhi NCR,2292958,0.94,DEVELOPING_URBAN,False,4851,17,48.0,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0109,109,West Delhi,Delhi NCR,2543243,1.0,MATURE_URBAN,False,5595,17,48.6,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0110,110,Shahdara,Delhi NCR,1500000,1.0,DEVELOPING_URBAN,False,3300,17,63.6,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0111,111,Lucknow,Uttar Pradesh,4589838,0.66,MATURE_URBAN,False,7912,17,61.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0112,112,Kanpur Nagar,Uttar Pradesh,4581268,0.66,MATURE_URBAN,False,7898,17,42.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0113,113,Varanasi,Uttar Pradesh,3676841,0.43,TYPE_D,False,5154,17,70.0,"COMPETITIVE LOCKOUT (HARD MOAT): Strong category demand, reasonable Kestrel dist, but 2 rivals hold >85% share with exclusive chillers.",HIGH_COST_BARRIER_ACQUIRE_CHILLER_CONTRACTS
DST_0114,114,Prayagraj,Uttar Pradesh,5954391,0.25,DEVELOPING_URBAN,False,6847,17,40.4,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0115,115,Agra,Uttar Pradesh,4418797,0.46,MATURE_URBAN,False,6380,17,62.4,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0116,116,Meerut,Uttar Pradesh,3443689,0.51,TYPE_D,False,5213,17,77.4,"COMPETITIVE LOCKOUT (HARD MOAT): Strong category demand, reasonable Kestrel dist, but 2 rivals hold >85% share with exclusive chillers.",HIGH_COST_BARRIER_ACQUIRE_CHILLER_CONTRACTS
DST_0117,117,Ghaziabad,Uttar Pradesh,4681645,0.67,MATURE_URBAN,False,8136,17,44.0,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0118,118,Gautam Buddha Nagar,Uttar Pradesh,1648115,0.59,TYPE_C,False,2679,1,14.4,"PANEL BLINDNESS (MEASUREMENT ILLUSION): Healthy true sales, but panel coverage <20%. Not a whitespace, already active.",FIX_PANEL_MEASUREMENT_DO_NOT_MISCLASSIFY
DST_0119,119,Bareilly,Uttar Pradesh,4448359,0.35,DEVELOPING_URBAN,False,5738,17,53.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0120,120,Aligarh,Uttar Pradesh,3673889,0.33,DEVELOPING_URBAN,False,4636,17,39.6,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0121,121,Moradabad,Uttar Pradesh,4772006,0.33,DEVELOPING_URBAN,False,6022,17,57.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
