audit_date,month_id,district_id,district_name,state,competitor_brand,numeric_distribution_pct,weighted_distribution_pct,stocking_outlet_count,exclusive_branded_chillers_deployed,promotional_intensity_score_1_to_10,active_retail_scheme
1777704840000,2026-05,DST_0211,Warangal,Telangana,Torque,61.09,68.8,577,78,4.18,Special_Kirana_Margin
2025/01/08,2025-01,DST_0193,Nadia,West Bengal,Voltix,54.58,53.35,3361,249,4.6,None
2026-07-15T00:00:00Z,2026-07,DST_0068,Tiruchirappalli,Tamil Nadu,Voltix,48.37,66.03,1956,378,5.1,None
09-03-2026,2026-03,DST_0262,Banswara,Rajasthan,BullForce,27.18,40.74,438,67,3.91,None
2025-01-21T00:00:00+05:30,2025-01,DST_0071,Tiruppur,Tamil Nadu,Apex Energy,52.96,52.45,2171,356,3.27,Seasonal_Discount
09-03-25,2025-09,DST_0079,Dharmapuri,Tamil Nadu,PulseDrop,14.95,25.2,233,5,1.17,None
1731234360000,2024-11,DST_0242,Bikaner,Rajasthan,BullForce,28.48,44.86,858,49,2.81,None
2025-02-11T00:00:00Z,2025-02,DST_0219,Siddipet,Telangana,BullForce,41.71,61.42,420,54,5.29,Seasonal_Discount
2026/03/17,2026-03,0031,Gadchiroli,Maharashtra,PulseDrop,36.4,35.77,372,62,3.3,
04-16-26,2026-04,DST_0019,Sindhudurg,Maharashtra,Voltix,48.53,51.3,404,32,3.03,Seasonal_Discount
06-09-2025,2025-09,DST_0042,Udupi,Karnataka,BullForce,40.93,55.03,574,45,3.4,None
11-05-2026,2026-05,DST_0099,Kallakurichi,Tamil Nadu,Torque,44.12,31.71,593,43,5.33,None
19-02-2026,2026-02,DST_0178,Dang,Gujarat,PulseDrop,15.06,27.67,32,0,1.59,None
19-12-2024,2024-12,DST_0111,Lucknow,Uttar Pradesh,PulseDrop,30.66,32.49,2425,449,2.74,None
1736404740000,2025-01,0089,Sivaganga,Tamil Nadu,BullForce,46.77,57.74,772,67,4.66,None
2025/12/20,2025-12,DST_0077,CHENGALPATTU,Tamil Nadu,Torque,41.0,41.78,1835,350,3.3,None
2025/02/11,2025-02,0213,Karimnagar,Telangana,Voltix,81.39,86.02,1010,622,9.06,Active_BOGO_Scheme
2026/04/06,2026-04,DST_0163,Valsad,Gujarat,Voltix,53.29,39.95,1198,136,2.81,None
2025/03/04,2025-03,DST_0204,Bankura,West Bengal,BullForce,33.94,34.83,1113,170,4.31,None
11-18-25,2025-11,DST_0333,Palakkad,Kerala,PulseDrop,28.16,61.57,898,76,4.58,Seasonal_Discount
1735822260000,2025-01,0034,Dharashiv,Maharashtra,PulseDrop,47.79,31.62,821,83,3.96,None
1754136480000,2025-08,DST_0153,Vadodara,Gujarat,Voltix,48.14,57.51,3007,421,5.57,Special_Kirana_Margin
2026-06-15T00:00:00+05:30,2026-06,DST_0340,Wayanad,Kerala,Voltix,21.63,29.07,151,4,1.6,None
10-12-25,2025-10,DST_0009,Kolhapur,Maharashtra,BullForce,42.83,57.79,2071,380,5.09,None
2025/06/11,2025-06,DST_0121,Moradabad,Uttar Pradesh,BullForce,34.68,58.79,2088,405,3.81,None
2025-02-17T00:00:00+05:30,2025-02,DST_0272,Vijayawada,Andhra Pradesh,Voltix,86.73,86.21,3424,1608,8.63,Active_BOGO_Scheme
02-20-25,2025-02,DST_0266,Karauli,Rajasthan,Torque,25.77,49.42,379,25,2.92,None
1751607600000,2025-07,DST_0185,North 24 Parganas,West Bengal,Voltix,27.31,58.82,4368,381,3.24,
2025/06/08,2025-06,DST_0075,Dindigul,Tamil Nadu,Apex Energy,25.83,50.08,735,142,3.63,None
2025/06/18,2025-06,DST_0206,Jhargram,West Bengal,PulseDrop,37.46,33.68,394,36,2.89,None
2026/03/17,2026-03,DST_0286,Nandyal,Andhra Pradesh,BullForce,27.18,57.45,549,76,3.13,None
2026-08-21T00:00:00+05:30,2026-08,DST_0262,Banswara,Rajasthan,Voltix,32.42,51.05,523,61,2.58,None
15-12-2024,2024-12,DST_0244,Udaipur,Rajasthan,Voltix,52.53,47.04,1740,274,5.52,None
08-11-2025,2025-11,0127,Muzaffarnagar,Uttar Pradesh,Apex Energy,47.04,51.54,2350,400,5.35,Seasonal_Discount
1736164260000,2025-01,DST_0067,Madurai,Tamil Nadu,BullForce,54.77,34.52,2752,491,3.92,Seasonal_Discount
12-17-25,2025-12,0055,Kodagu,Karnataka,Apex Energy,54.92,49.45,307,47,4.11,Seasonal_Discount
05-10-26,2026-05,DST_0008,Chhatrapati Sambhajinagar,Maharashtra,Apex Energy,52.56,56.27,2754,317,5.54,Discount_10pct
2026/01/17,2026-01,DST_0296,Alluri Sitharama Raju,Andhra Pradesh,BullForce,20.3,15.94,176,0,3.1,None
09-12-2024,2024-12,DST_0139,Sitapur,Uttar Pradesh,Apex Energy,27.02,63.92,1172,154,2.51,
11-12-2025,2025-12,DST_0046,Kalaburagi,Karnataka,BullForce,33.94,40.66,1098,117,3.38,None
06-17-25,2025-06,0107,South East Delhi,Delhi NCR,Voltix,34.3,50.69,1622,305,2.73,
2026/06/08,2026-06,DST_0204,Bankura,West Bengal,PulseDrop,49.42,63.11,1621,285,2.88,None
2025/10/20,2025-10,DST_0266,Karauli,Rajasthan,Apex Energy,33.05,57.61,486,53,2.87,Seasonal_Discount
09-11-25,2025-09,DST_0109,West Delhi,Delhi NCR,BullForce,31.55,61.53,1765,236,2.54,None
08-07-2026,2026-07,DST_0256,Churu,Rajasthan,PulseDrop,49.28,40.51,1197,174,4.9,Seasonal_Discount
05-06-26,2026-05,DST_0102,New Delhi,Delhi NCR,Voltix,30.17,36.67,94,4,4.8,None
1755058500000,2025-08,DST_0111,Lucknow,Uttar Pradesh,Apex Energy,35.12,39.26,2778,223,5.47,None
02-03-2026,2026-03,DST_0024,Dhule,Maharashtra,PulseDrop,39.51,42.19,965,188,2.87,Seasonal_Discount
16-03-2025,2025-03,DST_0296,Alluri Sitharama Raju,Andhra Pradesh,Torque,16.6,28.25,144,1,1.99,None
2024/10/06,2024-10,DST_0208,Medchal-Malkajgiri,Telangana,Apex Energy,29.79,46.86,1507,280,4.15,Seasonal_Discount
2025/11/18,2025-11,DST_0024,Dhule,Maharashtra,PulseDrop,41.01,47.7,1002,151,4.8,None
2026-02-03T00:00:00Z,2026-02,DST_0036,Bengaluru Urban,Karnataka,PulseDrop,75.68,90.25,14001,5277,8.11,Bundle_Pack
2025/08/17,2025-08,DST_0224,Bhadradri Kothagudem,Telangana,Torque,52.74,58.43,703,56,4.76,None
1744950660000,2025-04,DST_0135,Amroha,Uttar Pradesh,Apex Energy,43.74,35.98,925,73,5.1,None
2026-06-10T00:00:00+05:30,2026-06,0007,Nashik,Maharashtra,Apex Energy,55.48,60.35,4749,959,5.84,None
2026/04/10,2026-04,DST_0109,West Delhi,Delhi NCR,PulseDrop,52.61,53.15,2943,288,4.3,Seasonal_Discount
08-08-2025,2025-08,DST_0086,Pudukkottai,Tamil Nadu,PulseDrop,51.25,60.36,895,113,4.9,None
1725957780000,2024-09,DST_0020,Chandrapur,Maharashtra,Voltix,43.7,58.39,1242,180,2.57,None
19-12-2024,2024-12,0022,Buldhana,Maharashtra,PulseDrop,11.94,19.01,337,5,1.09,None
06-16-26,2026-06,DST_0191,Purba Bardhaman,West Bengal,BullForce,37.17,36.1,2444,425,2.99,None
2024/12/07,2024-12,DST_0338,Pathanamthitta,Kerala,Voltix,48.15,54.13,549,64,4.29,None
2025/10/08,2025-10,DST_0013,Sangli,Maharashtra,Torque,34.07,59.15,1105,120,4.09,Seasonal_Discount
2025/10/16,2025-10,DST_0176,Narmada,Gujarat,PulseDrop,28.58,61.47,158,31,4.98,Seasonal_Discount
2025-06-11T00:00:00Z,2025-06,DST_0195,Malda,West Bengal,Voltix,26.98,33.51,1071,144,4.85,Seasonal_Discount
2026-02-09T00:00:00Z,2026-02,DST_0157,Junagadh,Gujarat,Torque,33.68,48.63,1165,230,2.91,None
21-10-2024,2024-10,DST_0165,Mehsana,Gujarat,Apex Energy,31.92,37.83,746,121,3.1,None
02-07-2025,2025-07,DST_0032,Nandurbar,Maharashtra,PulseDrop,42.11,52.1,720,58,4.09,Seasonal_Discount
06-10-2024,2024-10,DST_0172,Mahisagar,Gujarat,Apex Energy,37.06,42.83,346,62,4.57,None
11-03-2026,2026-03,DST_0069,Salem,Tamil Nadu,Apex Energy,58.83,69.26,3100,730,4.11,
2026-01-19T00:00:00Z,2026-01,DST_0184,Kolkata,West Bengal,Apex Energy,87.34,83.83,8639,4312,7.13,Bundle_Pack
1733311620000,2024-12,DST_0135,Amroha,Uttar Pradesh,PulseDrop,32.67,35.1,691,70,3.95,None
2025-06-08T00:00:00Z,2025-06,DST_0278,Kadapa,Andhra Pradesh,BullForce,49.93,34.49,1341,81,3.79,None
2026-06-14T00:00:00+05:30,2026-06,DST_0090,Tenkasi,Tamil Nadu,Voltix,28.09,46.4,554,62,2.77,None
2026-03-11T00:00:00Z,2026-03,DST_0031,Gadchiroli,Maharashtra,Torque,47.62,59.59,487,31,5.41,None
1758012420000,2025-09,DST_0280,Eluru,Andhra Pradesh,Apex Energy,34.15,48.86,842,163,3.95,None
14-03-2026,2026-03,DST_0120,Aligarh,Uttar Pradesh,PulseDrop,33.43,64.69,1549,256,3.06,Seasonal_Discount
2024/12/04,2024-12,DST_0021,Yavatmal,Maharashtra,Torque,49.66,48.56,1525,220,2.57,None
2024/12/14,2024-12,DST_0121,Moradabad,Uttar Pradesh,Apex Energy,48.02,56.4,2892,179,4.52,Seasonal_Discount
2025/04/16,2025-04,DST_0057,Koppal,Karnataka,Voltix,30.89,42.69,445,44,4.47,None
12-07-25,2025-12,DST_0051,Bagalkote,Karnataka,Apex Energy,25.66,41.12,605,108,4.1,Seasonal_Discount
10-03-2026,2026-03,DST_0019,Sindhudurg,Maharashtra,Apex Energy,27.7,54.57,231,19,4.42,None
09-11-2025,2025-11,DST_0065,Chennai,Tamil Nadu,PulseDrop,83.9,88.44,13083,4335,7.19,Bundle_Pack
2024-10-03T00:00:00+05:30,2024-10,DST_0268,Jaisalmer,Rajasthan,Apex Energy,49.73,60.47,326,28,2.55,None
08-06-2025,2025-06,DST_0129,Budaun,Uttar Pradesh,BullForce,21.4,20.77,817,3,1.44,None
2024-12-16T00:00:00+05:30,2024-12,DST_0016,Nanded,Maharashtra,BullForce,27.3,60.72,1080,195,4.38,None
12-06-2026,2026-06,DST_0208,Medchal-Malkajgiri,Telangana,Voltix,31.74,45.94,1605,115,3.27,None
03-13-25,2025-03,DST_0213,Karimnagar,Telangana,Voltix,78.89,85.32,979,494,8.95,Active_BOGO_Scheme
02-19-25,2025-02,DST_0002,Mumbai City,Maharashtra,BullForce,76.29,86.14,5177,1780,7.18,Discount_15pct
2025/12/10,2025-12,0301,Ujjain,Madhya Pradesh,PulseDrop,42.24,63.23,1129,154,5.67,Discount_10pct
1747133940000,2025-05,DST_0175,Chhota Udaipur,Gujarat,Torque,37.06,53.01,356,62,2.57,Seasonal_Discount
2024-09-19T00:00:00Z,2024-09,DST_0190,Purba Medinipur,West Bengal,Torque,38.56,60.72,1902,155,4.45,None
09-05-24,2024-09,DST_0114,Allahabad,Uttar Pradesh,BullForce,26.32,36.66,1802,245,4.72,None
12-09-25,2025-12,DST_0139,Sitapur,Uttar Pradesh,Torque,53.28,42.11,2312,195,3.24,None
06-03-2025,2025-03,DST_0220,Jagtial,Telangana,BullForce,31.2,33.31,340,47,4.69,None
2024/12/19,2024-12,DST_0286,Nandyal,Andhra Pradesh,Apex Energy,42.67,44.32,863,95,3.29,None
2025-11-09T00:00:00Z,2025-11,0159,Anand,Gujarat,Apex Energy,39.25,36.26,1002,85,5.38,Seasonal_Discount
10-06-2026,2026-06,0265,Sawai Madhopur,Rajasthan,Apex Energy,40.4,45.09,582,55,5.14,Seasonal_Discount
2026-02-19T00:00:00Z,2026-02,DST_0250,Sri Ganganagar,Rajasthan,PulseDrop,47.23,55.28,1095,128,2.57,None
19-12-2024,2024-12,DST_0260,Rajsamand,Rajasthan,PulseDrop,45.8,58.09,542,74,4.73,Seasonal_Discount
2025/01/16,2025-01,DST_0131,Rampur,Uttar Pradesh,PulseDrop,52.87,46.45,1420,76,5.04,None
2025/10/21,2025-10,DST_0082,Nagapattinam,Tamil Nadu,PulseDrop,31.11,43.35,564,38,3.03,None
03-07-2026,2026-07,DST_0089,Sivaganga,Tamil Nadu,BullForce,37.08,54.3,612,65,3.09,Seasonal_Discount
2026-07-20T00:00:00Z,2026-07,DST_0312,Chhindwara,Madhya Pradesh,BullForce,29.99,49.13,712,142,4.44,None
20-03-2025,2025-03,DST_0303,Dewas,Madhya Pradesh,Voltix,40.04,49.62,754,38,4.73,None
1784437680000,2026-07,DST_0093,Tirupathur,Tamil Nadu,BullForce,35.67,58.48,527,86,4.41,None
2024-12-14T00:00:00+05:30,2024-12,0328,Ernakulam,Kerala,Torque,52.46,55.3,3016,488,2.59,
11-02-25,2025-11,DST_0158,Gandhinagar,Gujarat,PulseDrop,50.37,64.78,982,101,4.31,None
18-04-2025,2025-04,0154,Rajkot,Gujarat,BullForce,59.94,54.25,3675,711,4.36,None
2024/11/18,2024-11,DST_0291,Anakapalli,Andhra Pradesh,PulseDrop,33.69,52.38,709,95,3.57,Seasonal_Discount
12-06-2025,2025-06,DST_0312,Chhindwara,Madhya Pradesh,Voltix,32.51,36.91,772,87,4.76,Seasonal_Discount
2026-06-13T00:00:00Z,2026-06,DST_0095,Tiruvannamalai,Tamil Nadu,Torque,44.97,47.92,1197,215,4.5,Seasonal_Discount
21-01-2026,2026-01,DST_0215,Khammam,Telangana,Apex Energy,48.43,46.41,761,69,4.57,None
10-04-24,2024-10,DST_0188,Hooghly,West Bengal,Voltix,88.02,87.28,6538,3621,8.53,Active_BOGO_Scheme
09-07-2026,2026-07,DST_0009,Kolhapur,Maharashtra,PulseDrop,34.1,57.56,1649,208,4.19,None
2025/10/11,2025-10,DST_0202,Dakshin Dinajpur,West Bengal,PulseDrop,29.99,32.88,500,95,5.05,None
17-03-2026,2026-03,DST_0329,KOZHIKODE,Kerala,Torque,41.69,52.83,2235,303,4.08,Special_Kirana_Margin
04-03-2025,2025-03,DST_0113,Varanasi,Uttar Pradesh,Apex Energy,92.61,95.76,4772,1911,7.85,Active_BOGO_Scheme
07-12-2025,2025-12,DST_0030,Hingoli,Maharashtra,Apex Energy,36.87,62.37,438,64,2.95,Seasonal_Discount
07-05-25,2025-07,DST_0079,Dharmapuri,Tamil Nadu,Voltix,21.48,16.28,336,3,2.38,None
2025-04-08T00:00:00+05:30,2025-04,DST_0187,Howrah,West Bengal,Torque,28.13,45.02,2294,343,4.09,None
2024/09/02,2024-09,DST_0305,Ratlam,Madhya Pradesh,Apex Energy,33.36,39.76,592,114,5.22,None
12-07-2026,2026-07,DST_0278,Kadapa,Andhra Pradesh,Torque,40.9,62.66,1098,137,2.8,Seasonal_Discount
2025-10-05T00:00:00+05:30,2025-10,DST_0332,Kannur,Kerala,PulseDrop,35.31,50.64,1523,94,3.65,Seasonal_Discount
02-06-2026,2026-06,DST_0127,Muzaffarnagar,Uttar Pradesh,PulseDrop,29.35,62.27,1466,112,2.88,Seasonal_Discount
2026/05/04,2026-05,DST_0067,Madurai,Tamil Nadu,Torque,45.56,58.47,2289,238,2.91,None
08-04-2026,2026-04,DST_0265,Sawai Madhopur,Rajasthan,Apex Energy,28.88,43.66,416,54,4.04,
2026/05/17,2026-05,DST_0034,Dharashiv,Maharashtra,PulseDrop,28.42,60.81,488,94,2.89,None
05-02-2025,2025-02,DST_0051,Bagalkote,Karnataka,Torque,27.47,44.26,647,118,3.11,
15-07-2025,2025-07,0063,Gadag,Karnataka,PulseDrop,44.88,50.92,622,116,4.64,None
2024/12/14,2024-12,0013,Sangli,Maharashtra,Voltix,50.52,38.66,1639,131,3.47,
03-12-2025,2025-12,DST_0179,Gir Somnath,Gujarat,BullForce,27.74,43.92,402,76,4.67,None
17-10-2025,2025-10,0070,Tirunelveli,Tamil Nadu,PulseDrop,52.4,45.26,1296,154,3.53,None
2026-04-10T00:00:00+05:30,2026-04,DST_0060,Uttara Kannada,Karnataka,Torque,44.1,54.59,764,91,2.77,None
17-03-2025,2025-03,DST_0103,North Delhi,Delhi NCR,Apex Energy,43.07,47.34,841,166,4.77,None
09-09-2024,2024-09,DST_0170,Aravalli,Gujarat,Voltix,30.41,40.47,305,54,4.65,None
17-09-2024,2024-09,DST_0316,Damoh,Madhya Pradesh,Voltix,35.33,54.84,482,86,3.13,None
14-09-2025,2025-09,DST_0285,Chittoor,Andhra Pradesh,BullForce,40.74,38.16,876,68,5.28,None
03-16-25,2025-03,0024,Dhule,Maharashtra,Voltix,44.49,53.72,1087,88,4.96,None
02-02-25,2025-02,DST_0123,Gorakhpur,Uttar Pradesh,BullForce,40.7,63.07,1926,213,4.54,
09-05-2026,2026-05,DST_0041,Dakshina Kannada,Karnataka,Torque,29.5,55.0,907,164,2.63,Seasonal_Discount
08-13-26,2026-08,DST_0025,Jalna,Maharashtra,BullForce,26.31,59.91,549,65,5.46,Seasonal_Discount
07-16-25,2025-07,DST_0011,Ahmednagar,Maharashtra,BullForce,53.17,60.68,2608,309,4.95,None
05-03-2025,2025-03,0161,Morbi,Gujarat,BullForce,49.73,47.26,629,95,3.8,None
03-09-2024,2024-09,DST_0223,Nirmal,Telangana,BullForce,36.94,43.21,286,31,4.6,None
2026/03/12,2026-03,DST_0149,Bijnor,Uttar Pradesh,Apex Energy,52.77,52.6,2234,247,4.17,Seasonal_Discount
18-12-2025,2025-12,DST_0116,Meerut,Uttar Pradesh,Voltix,88.68,96.39,4622,2630,9.41,
21-05-2025,2025-05,DST_0221,Kamareddy,Telangana,Apex Energy,32.99,37.08,315,44,4.9,None
1765004460000,2025-12,DST_0135,Amroha,Uttar Pradesh,Apex Energy,35.19,37.75,744,100,4.01,Seasonal_Discount
10-07-2026,2026-07,DST_0283,Srikakulam,Andhra Pradesh,PulseDrop,27.4,64.72,631,39,4.45,None
15-09-2025,2025-09,DST_0322,Sehore,Madhya Pradesh,PulseDrop,44.55,32.78,622,58,4.19,None
02-05-2026,2026-05,0010,Solapur,Maharashtra,BullForce,45.0,39.58,2424,163,5.48,None
1780559880000,2026-06,DST_0118,Gautam Buddha Nagar,Uttar Pradesh,BullForce,53.49,50.28,1433,137,4.92,None
21-06-2026,2026-06,0307,Singrauli,Madhya Pradesh,Torque,35.55,31.37,446,76,3.64,None
2026/04/05,2026-04,DST_0286,Nandyal,Andhra Pradesh,PulseDrop,31.52,61.59,637,107,4.72,None
2024/09/10,2024-09,DST_0160,Navsari,Gujarat,PulseDrop,30.83,41.21,620,39,4.31,None
2024-09-13T00:00:00Z,2024-09,DST_0257,Bundi,Rajasthan,BullForce,33.38,64.27,400,31,2.5,Seasonal_Discount
19-08-2026,2026-08,DST_0194,Murshidabad,West Bengal,Voltix,34.73,50.68,2664,170,5.19,Seasonal_Discount
11-12-25,2025-11,0251,Jhunjhunu,Rajasthan,Torque,53.49,62.81,1282,102,4.88,None
2026/04/02,2026-04,DST_0083,Namakkal,Tamil Nadu,Voltix,29.89,52.74,701,54,5.19,Seasonal_Discount
11-07-2026,2026-07,DST_0124,Jhansi,Uttar Pradesh,BullForce,39.8,45.91,1104,203,3.12,Seasonal_Discount
2026/01/03,2026-01,DST_0030,Hingoli,Maharashtra,Torque,28.23,36.44,335,30,5.43,None
10-07-2025,2025-07,DST_0245,Bhilwara,Rajasthan,Apex Energy,49.33,46.64,1299,142,3.35,None
2025/09/17,2025-09,DST_0081,Krishnagiri,Tamil Nadu,Torque,50.75,44.11,1070,190,4.7,None
2025/05/12,2025-05,DST_0063,Gadag,Karnataka,Apex Energy,43.74,44.77,607,121,4.18,Seasonal_Discount
2025/07/19,2025-07,DST_0292,Sri Sathya Sai,Andhra Pradesh,PulseDrop,52.56,53.35,1071,167,3.38,None
2025/05/15,2025-05,DST_0251,Jhunjhunu,Rajasthan,PulseDrop,44.16,48.16,1058,61,5.2,None
2025-02-18T00:00:00+05:30,2025-02,DST_0271,Visakhapatnam,Andhra Pradesh,Voltix,59.23,59.17,2728,460,5.74,None
11-21-25,2025-11,DST_0276,Kurnool,Andhra Pradesh,Torque,32.56,32.45,984,51,2.74,Seasonal_Discount
06-03-2026,2026-03,DST_0227,Nagarkurnool,Telangana,Torque,53.31,51.46,447,28,4.2,
2025/08/09,2025-08,DST_0031,Gadchiroli,Maharashtra,Torque,46.62,52.48,476,61,4.81,Seasonal_Discount
04-14-25,2025-04,DST_0140,Unnao,Uttar Pradesh,Apex Energy,53.56,50.92,1727,301,2.57,None
08-03-25,2025-08,DST_0300,Gwalior,Madhya Pradesh,Voltix,31.71,42.12,1083,215,4.78,None
09-12-2025,2025-12,DST_0118,Gautam Buddha Nagar,Uttar Pradesh,Apex Energy,49.38,40.41,1322,205,2.75,Seasonal_Discount
2026/07/14,2026-07,DST_0319,Neemuch,Madhya Pradesh,Voltix,27.77,50.22,279,46,4.91,None
10-07-2026,2026-07,DST_0057,Koppal,Karnataka,PulseDrop,51.43,52.27,741,121,4.2,None
04-12-2024,2024-12,DST_0152,Surat,Gujarat,Voltix,76.7,94.16,8955,4824,8.25,Active_BOGO_Scheme
12-11-2025,2025-11,0168,Patan,Gujarat,BullForce,33.78,47.73,496,28,5.34,None
2025-01-07T00:00:00+05:30,2025-01,DST_0284,Vizianagaram,Andhra Pradesh,PulseDrop,32.87,43.34,711,130,2.74,None
09-06-24,2024-09,DST_0215,Khammam,Telangana,Torque,28.27,46.57,444,86,4.07,None
2025-03-05T00:00:00Z,2025-03,DST_0271,Vizag,Andhra Pradesh,BullForce,46.14,62.1,2125,357,3.55,
14-09-2024,2024-09,DST_0268,Jaisalmer,Rajasthan,Torque,39.12,63.04,257,30,3.22,None
08-08-26,2026-08,DST_0265,Sawai Madhopur,Rajasthan,BullForce,33.84,38.36,487,72,3.4,Seasonal_Discount
07-13-26,2026-07,0027,Bhandara,Maharashtra,BullForce,47.3,32.83,604,56,4.41,None
12-09-25,2025-12,DST_0040,Dharwad Dist,Karnataka,BullForce,38.3,52.67,1130,258,4.63,
2026/08/21,2026-08,DST_0281,Rajamahendravaram,Andhra Pradesh,Voltix,47.63,42.96,1162,126,3.06,None
1786362300000,2026-08,DST_0266,Karauli,Rajasthan,BullForce,26.05,30.43,383,31,5.07,Seasonal_Discount
09-10-2024,2024-10,DST_0022,Buldhana,Maharashtra,Apex Energy,15.16,22.66,428,2,2.13,None
17-11-2025,2025-11,DST_0042,Udupi,Karnataka,BullForce,28.05,60.46,393,28,4.72,
01-20-25,2025-01,DST_0137,Fatehpur,Uttar Pradesh,BullForce,43.01,44.86,1095,68,4.08,None
2026-07-02T00:00:00Z,2026-07,DST_0283,Srikakulam,Andhra Pradesh,BullForce,48.23,61.15,1111,75,3.58,None
2025/06/11,2025-06,DST_0217,Mahabubnagar,Telangana,Voltix,22.34,14.33,363,4,3.08,None
03-03-25,2025-03,DST_0216,Nalgonda,Telangana,Voltix,51.52,45.55,818,74,5.01,None
09-09-2024,2024-09,DST_0247,Sikar,Rajasthan,BullForce,54.92,61.73,1670,231,4.38,Seasonal_Discount
08-07-2026,2026-07,DST_0132,Mirzapur,Uttar Pradesh,Apex Energy,51.93,61.76,1290,182,3.88,None
2025/07/06,2025-07,0152,Surat,Gujarat,PulseDrop,39.7,45.97,4635,920,3.18,None
1779079860000,2026-05,DST_0184,Kolkata,West Bengal,Apex Energy,79.79,86.64,7893,3257,7.87,None
01-16-25,2025-01,DST_0271,Vizag Urban,Andhra Pradesh,Torque,43.23,60.04,1991,241,4.93,None
2026/03/03,2026-03,DST_0279,Anantapur,Andhra Pradesh,PulseDrop,40.79,49.38,1140,162,2.72,None
2026/06/15,2026-06,DST_0001,Mumbai Suburban,Maharashtra,Apex Energy,75.29,86.06,13928,5422,6.13,None
1786938960000,2026-08,DST_0099,Kallakurichi,Tamil Nadu,PulseDrop,30.81,36.55,414,24,3.08,None
18-04-2026,2026-04,DST_0013,Sangli,Maharashtra,Voltix,43.36,63.33,1407,202,3.48,
2025/02/07,2025-02,DST_0308,Katni,Madhya Pradesh,Apex Energy,42.18,37.73,596,75,3.25,None
03-05-26,2026-03,DST_0189,Paschim Medinipur,West Bengal,Apex Energy,34.99,39.13,2002,192,4.11,None
15-12-2024,2024-12,0141,Jaunpur,Uttar Pradesh,Apex Energy,49.28,40.95,2019,184,2.71,None
2025-07-16T00:00:00Z,2025-07,DST_0242,Bikaner,Rajasthan,Torque,32.3,42.08,974,95,4.4,None
17-09-2025,2025-09,DST_0190,Purba Medinipur,West Bengal,Apex Energy,36.62,45.53,1806,172,2.65,None
03-19-25,2025-03,DST_0246,Alwar,Rajasthan,PulseDrop,42.98,55.19,1661,398,4.81,Discount_10pct
06-02-2026,2026-02,DST_0137,Fatehpur,Uttar Pradesh,Torque,54.48,58.68,1388,165,3.22,None
16-10-2025,2025-10,DST_0172,Mahisagar,Gujarat,Apex Energy,43.0,31.21,401,73,3.78,None
14-08-2025,2025-08,DST_0266,Karauli,Rajasthan,Torque,53.04,54.53,780,118,4.91,None
2024/12/21,2024-12,DST_0318,Khargone,Madhya Pradesh,Torque,25.38,52.83,486,55,4.34,None
2025-12-13T00:00:00+05:30,2025-12,0266,Karauli,Rajasthan,PulseDrop,46.33,40.95,681,72,4.21,None
2025/08/03,2025-08,DST_0074,Thanjavur,Tamil Nadu,PulseDrop,28.76,50.95,892,176,2.95,None
2026/01/20,2026-01,DST_0255,Nagaur,Rajasthan,BullForce,33.39,31.1,1177,217,4.27,None
13-12-2024,2024-12,DST_0286,Nandyal,Andhra Pradesh,PulseDrop,27.16,38.15,549,60,5.17,None
